StoryId,StoryName,StoryType,ImageId,ImageDisplayMode,ImageIds,ImageCaptions,TextContent,TriggerTaskOnEnd,TriggerTaskId,AddItemId,AddItemCount,Remark
story_relief_start,Relief Start,Dialogue,,,,,,false,,,0,Task stage start dialogue
story_relief_prepare_end,Relief Prepare End,Text,,,,,The first relief stores are counted and sealed before nightfall.,false,,item_food,1,Task stage end text reward
story_relief_actor,Steward Before Document,Dialogue,,,,,,false,,,0,Before-document actor dialogue
story_relief_deliver_start,Relief Delivery Start,Dialogue,,,,,,false,,,0,Second task stage dialogue
story_relief_deliver_end,Relief Delivery End,Text,,,,,The delivery route is logged for the council archive.,false,,item_material,1,Second task stage end text reward
story_relief_courier,Courier Before Document,Dialogue,,,,,,false,,,0,Before-document courier dialogue
story_demo_choice,Choice Demo,Dialogue,,,,,,true,task_punish_civilian_01,item_money,2,Choice jump and story end task trigger demo
story_demo_text,Text Demo,Text,,,,,A sealed note reports that the lower district drains are holding for now.|A second paragraph is added to the same black page after the first line completes.|The final paragraph confirms the council can move before dawn.,false,,item_food,1,Standalone multi-paragraph text story demo
story_demo_image,Image Page Demo,Image,image_flood_map,PageSequence,image_flood_map|image_bridge_route|image_storehouse,The map marks three flooded streets.|The bridge route is still open.|The storehouse is ready.,,false,,item_material,1,Standalone page image story demo
story_demo_comic_image,Image Comic Demo,Image,,ComicPanels,image_comic_panel_01|image_comic_panel_02|image_comic_panel_03|image_comic_panel_04,Rain reaches the canal.|Workers lift the timber.|A courier crosses the bridge.|The moon rises over the lower district.,,false,,item_food,1,Standalone comic panel image story demo
story_demo_submission,Submission Demo,Dialogue,,,,,,false,,item_archivist_badge,1,Dialogue item submission demo
