CharacterId,CharacterName,FactionId,OrganizationIconId,PortraitId,Description,Remark
C0001,龙哥,F0001,黑帮,龙面具正常,,组织图标 ID 当前代码暂未读取，预留给后续游戏内显示使用。
,,,,龙本体正常,,
,,,,龙本体嫌弃,,
C0002,半身人机械师,F0001,黑帮,半身人机械师,,
C0003,半身人拾荒者,F0001,黑帮,半身人拾荒者,,
C0004,总会长,F0001,工会,总会长正常,,
,,,,总会长开心,,
,,,,总会长惊讶,,
,,,,总会长抓狂,,
,,,,总会长生气,,
,,,,总会长电话惊讶,,
,,,,总会长抬电话惊讶,,
,,,,总会长电话生气,,
C0005,商会长,F0001,工会,商会长正常,,
,,,,商会长掉胡子,,
,,,,商会长惊讶,,
,,,,商会长为难,,
C0006,信使,F0001,工会,信使正常,,
,,,,信使机仆,,
C0007,队长,F0001,老铁小队,队长正常,,
C0008,罐头,F0001,老铁小队,罐头正常,,
,,,,罐头难绷,,
,,,,罐头疼,,
C0009,老铁,F0001,老铁小队,老铁正常,,
,,,,老铁奸笑,,
,,,,老铁无语,,
,,,,老铁罐,,
,,,,老铁惊讶,,
,,,,老铁水桶,,
,,,,老铁水桶无语,,
C0010,学院院长,F0002,学院,院长正常,,
,,,,院长辩论,,
,,,,院长生气,,
C0011,学院卫队长,F0002,学院,卫队长正常,,
,,,,卫队长辩论,,
,,,,卫队长生气,,
C0012,工坊主,F0002,工坊,某工坊主正常,,
C0013,学院人员,F0002,学院,学院人员正常,,
C0014,观星者,F0002,学院,观星者正常,,
,,,,观星者惊,,
,,,,观星者尴尬,,
,,,,观星者疯癫,,
,,,,观星者大惊,,
C0015,主教,F0003,教会,主教正常,,
,,,,主教辩论,,
C0016,大祭司,F0003,教会,大祭司正常,,
,,,,大祭司生气,,
,,,,大祭司辩论,,
,,,,大祭司生气抬手,,
C0017,牧师,F0003,教会,牧师正常,,
C0018,祭司,F0003,教会,祭司正常,,
C0019,布道者,F0003,教会,布道者正常,,
C0020,护教军领袖,F0003,教会,护教正常,,
C0021,教会医生,F0003,教会,医生正常,,
C0022,王,F0004,王室,王正常,,
,,,,王失落,,
,,,,王闭眼,,
C0023,王女,F0004,王室,王女正常,,
C0024,王子,F0004,王室,王子正常,,
,,,,王子开心,,
,,,,王子赔罪,,
,,,,王子赔罪打招呼,,
C0025,小贵族,F0004,贵族,小贵族正常,,
,,,,小贵族谄媚,,
C0026,大贵族,F0004,贵族,大贵族正常,,
,,,,大贵族生气,,
C0027,军事大臣,F0004,贵族,军事大臣正常,,
C0028,近侍,F0004,王室,近侍正常,,
,,,,近侍严肃,,
,,,,近侍抬手,,
,,,,近侍尬笑,,
,,,,近侍介绍,,
,,,,近侍撇嘴思考,,
,,,,近侍睁眼正常,,
,,,,常服近侍正常,,
,,,,常服近侍笑,,
,,,,常服近侍难绷,,
,,,,常服近侍吃兔,,
C0029,落魄贵族,F0004,贵族,落魄贵族正常,,
C0030,侍从,F0002,学院,侍从正常,,
,,,,侍从搬东西,,
