LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0001_001,S0001,S0001_002,王闭眼,“缄默的不老者，古老遗物的守护者，未知律令的践行者，抛却名讳的神选者……”,0,false,,,,,,宝库and占星室,名字显示为？？？,骷髅_演出点位起始
S0001_002,S0001,S0001_003,,在视觉回归之前，首先苏醒的是听觉，宛若歌颂一般的声音仿佛从远处传来，将意识拉回躯壳之中。,0,false,,,,,,宝库and占星室,,
S0001_003,S0001,S0001_004,王闭眼,“如今，王国之中混乱将至，渴望瓜分王国之人已经开始出现……”,0,false,,,,,,宝库and占星室,名字显示为？？？,
S0001_004,S0001,S0001_005,,无法移动四肢，四周的一切都仿佛缓慢开机一般僵硬，模模糊糊的视线之中，那身穿华服，头戴王冠之人，正在面前宣读着。,0,false,,,,,,宝库and占星室,,
S0001_005,S0001,S0001_006,王正常,“为守护国之根本，我以■■■■■家族的血脉，使用王的权柄，命令你，激活遗物！”,0,false,,,,,,宝库and占星室,名字显示为？？？,骷髅_上升300回初始位
S0001_006,S0001,S0001_007,,终于，伴随着话语落下，视野彻底清晰，只是仍然无法行动甚至开口说话，而对面自称为王的人也沉默了许久。,0,false,,,,,,宝库and占星室,,
S0001_007,S0001,S0001_008,,数分钟的沉默后，王闭上了双眼。,0,false,,,,,,宝库and占星室,,
S0001_008,S0001,S0001_009,王失落,“我就知道又被骗了……真有这种好事哪轮得到我啊。”,0,false,,,,,,宝库and占星室,,
S0001_009,S0001,S0001_010,,当王准备转身离开之时，身边传来了难以分清性别的声音。,0,false,,,,,,宝库and占星室,,
S0001_010,S0001,S0001_011,近侍严肃,“……它早就打开了……”,1,false,,,,,,宝库and占星室,,
S0001_011,S0001,S0001_012,王正常,“……那你为什么不说？”,0,false,,,,,,宝库and占星室,,
S0001_012,S0001,S0001_013,近侍尬笑,“你没问啊。”,1,false,,,,,,宝库and占星室,,
