DocumentId,Title,BodyText,ProposerCharacterId,DocumentType,FactionLogoName,DisasterId,DisasterStageId,TaskId,TaskStageId,IsRepeatable,Remark,OptionA_Text,OptionB_Text,OptionA_MoneyChange,OptionB_MoneyChange,OptionA_MaterialChange,OptionB_MaterialChange,OptionA_FoodChange,OptionB_FoodChange,OptionA_NobleSuspicionChange,OptionB_NobleSuspicionChange,OptionA_AcademySuspicionChange,OptionB_AcademySuspicionChange,OptionA_ChurchSuspicionChange,OptionB_ChurchSuspicionChange,OptionA_CivilianSuspicionChange,OptionB_CivilianSuspicionChange,OptionA_TaskScoreChange,OptionB_TaskScoreChange,OptionA_RequiredItemId,OptionB_RequiredItemId,OptionA_RequiredItemCount,OptionB_RequiredItemCount,OptionA_ConsumeItem,OptionB_ConsumeItem,OptionA_AddItemId,OptionB_AddItemId,OptionA_AddItemCount,OptionB_AddItemCount,OptionA_NextDocumentId,OptionB_NextDocumentId,OptionA_NextDocumentDelayRound,OptionB_NextDocumentDelayRound,OptionA_UnlockBuildingId,OptionB_UnlockBuildingId,OptionA_ResultText,OptionB_ResultText,OptionA_ProposerFeedbackText,OptionB_ProposerFeedbackText,OptionA_FeedbackFactionId,OptionB_FeedbackFactionId,OptionA_FactionFeedbackText,OptionB_FactionFeedbackText
D0001,观星台的决定,我去看过那场争论会了，吵的我有些头痛……所以我希望在我还醒着的时候可以把事情定下来，关于观星台能不能建起来给个准话就好。,C0014,Task,学院,DI0001,DS0006,T0002,TS0002,0,任务公文示例,同意,拒绝,-5,0,-3,0,0,0,0,1,-2,1,0,1,-1,2,2,-2,,,0,0,0,0,,,0,0,D0002,,1,0,B0001,,第一批排水材料被送出。,申请被压回待议。,建材和建筑队已经准备好了，现在我就去让人动工。,我能理解，在我现在的工坊上改造一下也勉勉强强够用。,F0004,F0004,一个低贱的泥腿子如今要站的比我们都高了吗——物理上的也不可以！,一个平民就应该认清楚自己应该在的位置。
D0002,预知·防止疫病,我听说了暴雨要来了，而且还会有不少人生病？我已经和那个公会长商量过了，她把后勤借我，我也喊点人，提前准备一批常用药，但需要一点经费。,C0001,Task,黑帮,DI0001,DS0007,,,,后续公文示例；补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-1,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,,,0,0,0,0,,,0,0,,,0,0,,,回执被补入账册。,回执被压在桌角。,呼，在下这就去安排人，说实话来这里说话还让人感觉挺激动的。,囊中羞涩？可以理解，现在的存货应该也够用。,F0001,F0001,哦哦哦，我们还没被忘记呢。,所以大雨不会又是上面想起来要求涨税的把戏吧。
D0003,预知·图书馆,我相信观星者所言，暴雨就要来了，为了保护正在研究的遗物与相关文献，我希望在高地建立一个新的大图书馆。,C0010,Task,学院,DI0001,DS0008,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,放心，我会将那些珍贵的存在保护的很好。,那我只能另想办法了。,F0004,F0002,那些遗物进了你们学院的大图书馆就真的出不来了！,如果有所损失，将是全世界的损失。
D0004,人手不足,我已经收到这一次的行动要求了，但没有工钱那些冒险者是不会来干活的，而且事情太多了，人手严重不足啊，老大，可以再拨点经费吗。,C0004,Task,工会,DI0001,DS0010,T0004,TS0004,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,好嘞，我这就开始干活。,好吧，我再去想想办法。,F0001,F0001,动起来动起来，来活了！,让他们打白工？做梦去吧。
D0005,加固粮仓,大臣，我们的粮仓有些太过老旧了，我怕他们撑不过这一次的灾难，我希望你看看我们手上的资源够不够新建一个加固的粮仓。,C0023,Task,王室,DI0001,DS0011,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这也是一个让那些家伙打开已有粮仓的机会。,我们已经连新造粮仓的资源都没有了吗。,F0001,F0004,别一要开仓就直接又起火了，现在可还下着雨呢。,一定是下面的家伙不够努力。
D0006,小诊所,骷髅阁下，如今下城区愈来愈多的人染上了风寒，这不是一个好兆头，看起来那所谓的黑帮诊所已经超负荷了，我希望可以安排一些医疗牧师和祭司去开办一些小诊所。,C0016,Task,教会,DI0001,DS0012,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,这是让系统且神圣的医疗落入下城区的机会。,真是可惜，不过我还是会出手帮忙的。,F0001,F0002,你们就是想取代帮派诊所搞垄断吧。,别被这家伙骗了，他想收买人心罢了。
D0007,粮商1,哦，这位新来的大臣，有没有兴趣做一笔生意顺便救一下国？我手下有一个粮商渠道可以弄到便宜的粮食，你也来参一股，到时候下头人有粮食我们有钱，双赢。,C0025,Task,贵族,DI0001,DS0002,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,哦，不用你的钱，你的这个盖章就够了，等着数钱吧。,你真的就连这种躺着赚钱的活都要拒绝？,F0004,F0004,终于来了一个知道双赢的大臣。,又来一个看不懂贵族友谊的家伙。
D0008,越权扩张,学院开始对下城区进行了扩展，购入了不少下城区的地皮用来给外地来生建学徒宿舍与食堂，但他们没有提交申请，这是越权行为——那些地是原本我准备建孤儿院的。,C0016,Task,教会,DI0001,DS0003,,,,补资源提交需求：用于公文物品面板弹出测试。,同意学院继续,制止学院继续,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,您不明白，这不仅仅是一块地，他们在视他人的规则于无物。,感谢您，现在我们的孤儿的去处有着落了。,F0002,F0002,时间不等人，我们有那么多新学徒。,那我们的学徒去哪里？
D0009,流浪王室1,哦，你就是那个新晋大臣？抱歉前一阵子没有时间来见你……可以拜托你一个事情吗，巡视的时候麻烦把我的那个泡在酒精里的弟弟抓回来，谢谢。,C0023,Task,王室,DI0001,DS0004,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,同意,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,D0012,,2,0,,,,,麻烦你替我们收拾了那么多烂摊子——接下来我要去收拾我负责的那部分了。,,F0004,,王子又跑了？还好我们还有个王女。,
D0010,粮商5·教会,阁下，非常感谢您将那个卑劣小偷与他的赃款送还给了教会，嗷嗷待哺的羔羊们终于拥有了明天的希望，为了感谢您，这一批粮食将以您的名义布施。,C0016,Task,教会,DI0001,,,,,补资源提交需求：用于公文物品面板弹出测试。,同意,拒绝,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,0,0,,,,,再次感谢您的公正与理智，感谢王都还有个明事理的。,看起来您还是一个谦虚的人。,F0003,F0003,哦——赞美骷髅大臣——,哦——赞美谦虚的骷髅大臣——
