LetterId,Title,SenderName,BodyText,Remark
L0001,商会开业式,商会长,"致伟大的大臣阁下：
……
在我们所有人，尤其是您，睿智且思想进步的骷髅阁下的英明领导，以及鄙人小小的出力下，我们的商会终于建立了，我们将真正的统一王都的零散商户，为此特邀您出席最为重要的开幕式，让所有人知道我们商会背后究竟是何等份量的存在。
……
——您最忠诚的 商会长",导入5主线信件
L0002,观星者的邀请,观星者,"致骷髅：
……
观星台已经开始动工了，很感谢你在里面出的力……但我要说的不是这个，不对，我要说的是什么来着……我有些不知道自己究竟是不是在现实，这一次的暴雨只是开始，有机会来一下我的工坊吧，位置在上城区，具体地址如下……
……
——观星者",水灾4-主线信件
,公会长的汇报,总会长,"致老大！：
……
我已经收到命令了，已经在上城区的排水系统的入口处搭好了帐篷，正在安排人清理据点，我们不少人还是第一次来上城区呢，我也好几年没回来了……话扯远了，随时随地准备完成任务！
……
——总会长",水灾9-主线信件
,大祭司的请求,大祭司,"致骷髅阁下：
……
听说老师和学院的那个院长吵的很激烈，可能是老师给的方案太过理想化了吧，我这里有一个更加……实际的方案，如果您有需要，教会随时恭候您的到来。
……
——大祭司",水灾15-主线信件
,学院的邀请,卫队长,"致大臣：
……
教会那群家伙又在提出不切实际的办法了，那些家伙早点被扫进垃圾堆就好了，关于学院的计划，我们还有一些新的备选项，如果您感兴趣的话就抽空来一次学院吧。
……
——卫队长",水灾15-主线信件
,观星者的借条,观星者,"致骷髅：
……
上一次，在你那边偶然看到了一件遗物，我很感兴趣，所以暂时接走了，此为借条。
……
——观星者",水灾15-主线信件-观星者的借条（如果有【神秘遗物】）
,主教的感谢,主教,"致亲爱的阁下：
……
很感谢您最终选择了考虑人民的最佳选择，我相信您绝对不是因为什么仁慈，而是意识到了，我们的国度事实上是由这些可爱而忙碌的人们撑起的，无论如何，感谢您的认可。
……
——主教",水灾16-主教势力信件
,大祭司的感谢,大祭司,"致骷髅阁下：
……
很感谢您对我能力的信任，我已经开始了准备，也请您相信，您做出了一个正确的决定，我们将拯救整个王都。
……
——大祭司",水灾16-大祭司势力信件
,院长的来信,院长,"致大臣阁下：
……
您果然同我所想，对未来的目光是如此精准，这将是什么走向未来的一大步，也是将灾难转为机遇的一步，那些阵痛所带来的牺牲，很快就会用未来的希望弥补。
……
——院长",水灾16-院长势力信件
,卫队长的来信,卫队长,"致骷髅阁下：
……
我相信您做出这一步也做了很久的心理斗争，但请相信我，这是我们所需付出最少却得到最多的办法，故，此为最大的理性。
……
——卫队长",水灾16-卫队长势力信件
,主教的进度,主教,"致亲爱的阁下：
……
希望您已经做好了足够的准备，不日我便会开始按照计划完成我所应做的一切，这场雨带来的苦难已经够多了，现在，是时候让它停下了，愿神的光辉为你我引路。
……
——主教",水灾18-主教势力信件
,大祭司的进度,大祭司,"致骷髅阁下：
……
我已经做好了一切准备，在所有人的期望达到最高峰之时，笼罩在我们头顶的乌云将被你我联手驱散，随后荣光将再次洒在大地之上——我已经准备好了。
……
——大祭司",水灾18-大祭司势力信件
,院长的进度,院长,"致大臣阁下：
……
虽然时间紧凑，但进度勉强赶上了，很遗憾您不能亲眼见证自然的威力被驯服甚至化作未来的动力的那一刻，但我会在这座工厂的纪念碑的顶端刻下您的名字。
……
——院长",水灾18-院长势力信件
,大祭司的问候,大祭司,"致骷髅阁下：
……
昨日的交谈时间实在是太短，我很荣幸可以见识到一尊真正行走于世间的遗物，希望您可以带领我们的国度走向未来，愿神的光辉为您引路。
……
——大祭司",导入2-支线信件
,院长的问候,院长,"致大臣阁下：
……
很抱歉我不太擅长用文字来表述情感，但我希望在接下来的日子里，学院可以成为您最重要且忠诚的朋友，愿理性带来未来。
……
——院长",导入2-支线信件
,密信,总会长,"致老大！：
……
我已经收到了之前那份密信的回馈，其他的地区工会也有此类情况，现在正在建立属于自己的情报网络与工会联盟来排除学院与教会对工会的影响，还有一个题外话，我们派出的信使失踪了，下落不明……
……
——总会长",水灾6-支线信件
,水管,龙哥,"致大臣阁下：
……
大臣阁下，当你收到这封信的时候，我的诊所的一个房间已经彻底成为了史莱姆的乐园，但听说史莱姆的粘液很适合保养骷髅所以我也许会替您收集一点……请您不要让那个总会长继续让我交税了，我已经补完税了，真的。
……
——龙哥",水灾8-支线信件
,贵族的问责,无留名,"致亲爱的大臣：
……
俗话说得好，一个优秀的下属是主人的颜面。而一个神选者，同时也是您最亲近的属下，对一个血统高贵同时是国家支柱的存在——比如说我，做出些许的失礼行为，肯定的某种误会所致，我愿意化解这个误会，但也希望您可以在平日更加关注一下您下属的行为。
……
——无留名",水灾9-支线信件
,王子的道歉信,王子,"致亲爱的骷髅：
……
很抱歉又给你添麻烦了，最近父王让我做好自己的职责，所以恕我无法当面向你表明我的歉意……我知道，我在这个位子做的不是很好，但每天起来看到那么多的子民在等待着帮助，我却只能陪着贵族跳舞……抱歉，可能说的有些多了……
……
——感谢你的 王子",水灾11-支线信件
,王女的慰问,王女,"致大臣：
……
听闻您在上城区遇到了袭击，这真是一个令人愤怒的消息，这简直是对王都安保赤裸裸的挑衅，对于您收到的惊吓我表示担忧，我会问责相关人士给您一个说法的。
……
——王女",水灾17-支线信件
,邪教徒的捣乱,龙哥,"致大臣阁下：
……
最近下城区里不知道哪里混进来的家伙越来越多了，希望阁下您也稍微注意一点，听说您已经遇到过了，相信您的那位侍从已经替您解决掉了。
……
——龙哥",水灾17-支线信件
,冒险者的捣乱,龙哥,"致大臣阁下：
……
那群天杀的冒险者，把我的人，套上麻袋就揍了一顿，虽然没有证据，但只有是他们，他们居然还说是邪教徒的报复，哪有邪教徒的报复是用木棍捅屁股的！
……
——龙哥",水灾18-支线信件
