SideEventId,Round,PointId,DisplayCharacterId,StoryId,ExpireRound,IsOneTime,RequiredTaskId,RequiredTaskState,RequiredItemId,RequiredItemCount,Remark
SE0001,1,P0013,C0015,S0004,2,True,,,,0,支线角色生成在 PointId=P0013 对应的场景点位；是否触发任务由 StoryConfig 决定。
SE0002,3,P0007,C0004,S0033,6,1,T0001,,,,
SE0003,5,P0006,C0028,S0035,7,,T0001,,,,
SE0004,5,P0006,C0024,S0036,8,,T0001,,,,
SE0005,6,P0012,C0024,S0037,9,,T0001,,,,
SE0006,6,P0007,C0020,S0038,9,,T0001,,,,
SE0007,7,P0004,C0004,S0039,10,,T0001,,,,
SE0008,7,P0007,C0004,S0040,11,,T0001,,,,
SE0009,8,P0002,C0028,S0041,12,,T0001,,,,
SE0010,9,P0013,C0016,S0042,13,,T0001,,,,
SE0011,10,P0004,C0001,S0043,14,,T0001,,,,
SE0012,10,P0008,C0014,S0044,15,,T0001,,,,
SE0013,11,P0014,C0023,S0045,16,,T0001,,,,
SE0014,12,P0003,C0011,S0046,17,,T0001,,,,
SE0015,12,P0001,C0009,S0047,17,,T0001,,,,
SE0016,13,P0013,C0018,S0048,17,,T0001,,,,
SE0017,13,P0003,C0010,S0049,17,,T0001,,,,
SE0018,13,P0006,C0001,S0050,17,,T0001,,,,
SE0019,14,P0004,C0001,S0051,17,,T0001,,,,
SE0020,15,P0001,C0009,S0052,17,,T0001,,,,
SE0021,16,P0013,C0024,S0053,18,,T0001,,,,
SE0022,16,P0007,C0007,S0054,20,,T0001,,,,
SE0023,17,P0006,C0001,S0055,21,,T0001,,,,
SE0024,17,P0006,C0005,S0056,22,,T0001,,,,
SE0025,17,P0004,C0001,S0057,23,,T0001,,,,
SE0026,18,P0012,C0026,S0058,23,,T0001,,,,
SE0027,19,P0003,C0011,S0059,23,,T0001,,,,
SE0028,19,P0004,C0001,S0060,23,,T0001,,,,
SE0029,20,P0003,C0027,S0061,23,,T0001,,,,
SE0030,21,P0008,C0028,S0062,23,,T0001,,,,
SE0031,22,P0006,C0001,S0063,23,,T0001,,,,
SE0032,23,P0006,C0001,S0064,23,,T0001,,,,
