StoryId,StoryName,StoryType,StoryContentAssetId,背景图片,触发单位id,回合数,TriggerTaskOnEnd,TriggerTaskId,AddItemId,AddItemCount,Remark
S0001,[主线]激活骷髅,Dialogue,激活骷髅,宝库and占星室,公文前,1,0,,,0,
S0002,[主线]最初的工作,Dialogue,最初的工作,宝库and占星室,公文1,1,0,,,0,
S0003,[主线]初次巡逻-大地图,Dialogue,初次巡逻·大地图,王城,探索前,1,,,,,
S0004,[主线]初次巡逻-教区,Dialogue,初次巡逻·教区,教区背景,P0013,1,0,,,0,
S0005,[主线]初次巡逻-学院,Dialogue,初次巡逻·学院,学院背景,P0003,1,0,,,1,
S0006,[主线]初次巡逻-下城区,Dialogue,初次巡逻·下城区,下城区,P0004,1,,,,,
S0007,【主线】商会建设1,Dialogue,商会建设1,工会,P0004,2,1,T0001,,,
S0008,【主线】商会建设2,Dialogue,商会建设2,工会,P0004,2,,,,,
S0009,【主线】商会建设3,Dialogue,商会建设3,黑市,P0004,3,,,I0001,5,
S0010,【主线】商会建设4,Dialogue,商会建设4,下水道,P0004,3,,,,,
S0034,近侍的假日,Dialogue,近侍的假日,下城区,P0009|P0011|P0012,4,,,,,
S0033,邮局更新,Dialogue,邮局更新,工会,P0004,4,,,,,
S0035,粮商2,Dialogue,粮商2,下城区,P0013,5,,,,,
S0011,【主线】商会建设5,Dialogue,商会建设5,下城区,P0004,5,,,,,
S0036,醉酒的王子,Dialogue,醉酒的王子1,下城区,P0004,5,,,,,
S0037,王子的道歉,Dialogue,王子的道歉,王城,P0009|P0011|P0012,6,,,,,
S0038,粮商3,Dialogue,粮商3,营地,P0013,6,,,,,
S0012,【主线】观星,Dialogue,观星,图书馆,公文前,7,,T0002,,,
S0013,【主线】观星台的争吵,Dialogue,观星台的争吵,王城,探索前,7,,,,,
S0039,粮商4,Dialogue,粮商4,下城区,P0013,7,,,,,
S0040,密信1,Dialogue,密信1,工会,P0004,7,,,,,
S0041,密信2,Dialogue,密信2,工会,P0009|P0011|P0012,8,,,,,
S0014,【主线】面具的秘密,Dialogue,面具的秘密,工会,探索后,8,,,,,
S0044,观星工坊,Dialogue,观星工坊,宝库and占星室,P0009|P0011|P0012,9,,,,,
S0042,求学的王女1,Dialogue,求学的王女1,教区背景,P0013,9,,,,,
S0043,盗尸人,Dialogue,盗尸人,下城区,P0004,9,,,I0008,1,
S0045,求学的王女2,Dialogue,求学的王女2,图书馆,P0009|P0011|P0012,10,,,,,
S0015,【主线】投机者,Dialogue,投机者,王城,P0009|P0011|P0012,11,1,T0003,,,
S0046,野兽人1,Dialogue,野兽人1,学院背景,P0003,11,,,,,
S0047,冒险者的抢修,Dialogue,冒险者的抢修,老铁的铁匠铺,P0004,11,,,,,
S0048,野兽人2,Dialogue,野兽人2,营地,P0013,12,,,,,
S0049,野兽人3,Dialogue,野兽人3,学院背景,P0003,12,,,,,
S0050,反水的管道,Dialogue,反水的管道,工会,P0004,12,,,,,
S0051,密信3,Dialogue,密信3,工会,P0004,13,,,I0007,1,
S0016,【主线】投机者的教训,Dialogue,投机者的教训,王城,探索后,13,,,,,
S0017,【主线】辩经,Dialogue,辩经,王城,公文前,14,1,T0004,,,
S0052,冒险者的加入,Dialogue,冒险者的加入,工会,P0004,14,,,,,
S0018,【主线】开始维护,Dialogue,开始维护,营地,探索后,14,,T0004,,,
S0053,醉酒的王子2,Dialogue,醉酒的王子2,黑市,P0013,15,,,,,
S0054,冒险者的退出,Dialogue,冒险者的退出,工会,P0004,15,,,,,
S0019,【主线】维护中断,Dialogue,维护中断,营地,探索后,15,,T0004,,,
S0020,【主线】再次进入,Dialogue,再次进入,营地,探索前,16,,T0004,,,
S0055,药材稀缺1,Dialogue,药材稀缺1,营地,P0004,16,,,,,
S0056,药材稀缺2,Dialogue,药材稀缺2,图书馆,P0004,16,,,,,
S0021,【主线】管道求援,Dialogue,管道求援,营地,探索前,17,,,,,
S0057,帮派的巡逻,Dialogue,帮派的巡逻,下城区,P0004,17,,,,,
S0058,近侍的警告,Dialogue,近侍的警告,王城,P0009|P0011|P0012,18,,,,,
S0022,【主线】探索完成,Dialogue,探索完成,营地,公文前,19,,T0004,,,
S0059,遗物的去向1,Dialogue,遗物的去向1,学院背景,P0009|P0011|P0012,19,,,,,
S0060,遗物的去向2,Dialogue,遗物的去向2,下城区,P0004,19,,,I0006,1,
S0023,【主线】救灾,Dialogue,救灾,王城,公文前,20,1,T0005,,,
S0061,军械危机,Dialogue,军械危机,老铁的铁匠铺,P0009|P0011|P0012,20,,,,,
S0024,【主线】大祭司的提案,Dialogue,大祭司的提案,学院背景,P0013,20,,,,,
S0025,【主线】学院的提案,Dialogue,学院的提案,学院背景,P0003,20,,,,,
S0026,【主线】隐藏·蓄水池,Dialogue,隐藏·蓄水池,宝库and占星室,探索后,20,,,,,
S0027,【主线】水灾的抉择,Dialogue,水灾的抉择,王城,公文前,21,1,T0006,,,
S0062,邪教徒的袭击,Dialogue,邪教徒的袭击,学院街道,P0009|P0011|P0012,21,,,,,
S0063,没用的冒险者,Dialogue,没用的冒险者,工会,P0004,22,,,,,
S0064,没用的黑帮,Dialogue,没用的黑帮,工会,P0004,23,,,,,
