LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0020_001,S0020,S0020_002,,在重新组织人手之后，各方再次聚集在了帐篷内，而比起上一次的寥寥数人，此刻各方排除的人手可谓是豪华。,0,false,,,,,,营地,,
S0020_002,S0020,S0020_003,,学院方不仅仅是安排了数名大师，此次甚至调度来了一名首席与工坊主以及其工坊来负责后勤与技术支持。,0,false,,,,,,营地,,
S0020_003,S0020,S0020_004,,而教会则再次派出了大祭司这位教会的实际二把手来负责调度祭司与负责大型神术，同时大量教会的医疗人员也做好了准备。,0,false,,,,,,营地,,
S0020_004,S0020,S0020_005,,甚至就连黑帮都安排了全员到位，负责填补人手的空缺。,0,false,,,,,,营地,,
S0020_005,S0020,S0020_006,骷髅思考,“这一次来的人比上一次的多不少啊，各方终于是重视起来了，不过大祭司，教会来的人还是你啊。”,0,false,,,,,,营地,,
S0020_006,S0020,S0020_007,大祭司正常,“没有人比我更加适合过来了，而且我也亲自去过里面，所以我说服了老师直接让我来负责这里了。”,1,false,,,,,,营地,,
S0020_007,S0020,S0020_008,骷髅思考,“既然你去过里面，那么你预估一下，这些人足够吗？”,0,false,,,,,,营地,,
S0020_008,S0020,S0020_009,大祭司正常,“嗯……说实话，不太够，里面实在是太大了，而且谁也不知道里面有什么。”,1,false,,,,,,营地,,
S0020_009,S0020,S0020_010,工坊主正常,“恕我打断大祭司阁下的话，的确可能人手不足，但比什么都不做好。”,0,false,,,,,,营地,,
S0020_010,S0020,S0020_011,工坊主正常,“而且我听闻里面有一块巨大的可能存在遗物的未勘探区域，虽然听起来显得大家动机不纯，但……又一个苹果吊着他们才会干活勤快。”,0,false,,,,,,营地,,
S0020_011,S0020,S0020_012,近侍严肃,“我希望大家意识到，有遗物也是归王室的，这是律法所定。”,1,false,,,,,,营地,,
S0020_012,S0020,S0020_013,工坊主正常,“但至少可以过过手瘾，摸一摸，而且听说有遗物可以把第一个触碰的人变成神选之人呢。”,0,false,,,,,,营地,,
S0020_013,S0020,S0020_014,公会长正常,“报告老大，工会的人手集合完毕，可以进入了。”,1,false,,,,,,营地,,
S0020_014,S0020,END,骷髅正常,“嗯，行动开始。”,0,false,,,,,,营地,,
