LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0052_001,S0052,S0052_002,老铁正常,“队长，你们真的要去那个下水道里吗，听说里面又脏又臭而且很危险。”,0,false,,,,,,
S0052_002,S0052,S0052_003,队长正常,“没办法，修楼需要钱，去遗迹要准备的物资也需要钱，没有这笔钱我们工会就得集体去讨饭了。”,1,false,,,,,,
S0052_003,S0052,S0052_004,罐头疼,“……我的头还在痛。”,0,false,,,,,,
S0052_004,S0052,S0052_005,后勤正常,“很可惜，没钱买止痛药了，谁让你当时没带头盔被砸中了，忍着吧，干完活就有钱买药了。”,1,false,,,,,,
S0052_005,S0052,S0052_006,落魄贵族正常,“这话说的，在谁家还在室内带头盔，抠门就抠门……”,0,false,,,,,,
S0052_006,S0052,S0052_007,后勤正常,“再多嘴一句今天你的面包只有泡过水的。”,1,false,,,,,,
S0052_007,S0052,S0052_008,队长正常,“好了，别闹了，带上装备，我们作为先头部队走最前面，这个活钱最多。”,0,false,,,,,,
S0052_008,S0052,S0052_009,,在吵吵闹闹之中，或是为了拯救这座城市，亦或者是各方出资的金币，一支又一支的冒险者队伍加入了抢险的行列之中。,0,false,,,,,,
S0052_009,S0052,S0052_010,骷髅正常,“希望可以顺利解决。”,0,false,,,,,,
S0052_010,S0052,END,近侍撇嘴思考,“……大人，您这时候说这话真的很不吉利。”,1,false,,,,,,
说明,S0052,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0052,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0052,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0052,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0052,,,,,false,,,,,,
