LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0047_001,S0047,S0047_002,老铁水桶,“队长！！！！！！屋顶，屋顶塌了！！！！！！”,0,false,,,,,,老铁的铁匠铺,,
S0047_002,S0047,S0047_003,后勤正常,“这种时候要用木桶去接……”,1,false,,,,,,老铁的铁匠铺,,
S0047_003,S0047,S0047_004,队长正常,“别管木桶了！先把值钱的东西和契书送到地下室——”,1,false,,,,,,老铁的铁匠铺,,
S0047_004,S0047,S0047_005,老铁水桶,“队长！！！！！！地下室，地下室淹了！！！！！！”,0,false,,,,,,老铁的铁匠铺,,
S0047_005,S0047,S0047_006,,站在吵吵闹闹的，已经一半塌了一半淹了的木屋外，近侍与公会长再次确认了一下自己没来错地方。,0,false,,,,,,老铁的铁匠铺,,
S0047_006,S0047,S0047_007,近侍撇嘴思考,“我要的是上一次在黑市里看起来很鬼鬼祟祟的，刻意的人员的工会注册地址，你确定是这吗？”,0,false,,,,,,老铁的铁匠铺,,
S0047_007,S0047,S0047_008,公会长正常,“不会错，你看是不是就那个人，就是他们没错了。”,1,false,,,,,,老铁的铁匠铺,,
S0047_008,S0047,S0047_009,近侍撇嘴思考,“……我觉得可以不用担心了，看起来不像是可以干成什么坏事的。”,0,false,,,,,,老铁的铁匠铺,,
S0047_009,S0047,S0047_010,老铁水桶无语,“队长！！！！！！铁罐头他被砸晕了！！！！！！”,1,false,,,,,,老铁的铁匠铺,,
S0047_010,S0047,END,骷髅正常,“我们走吧，感觉在浪费时间。”,0,false,,,,,,老铁的铁匠铺,,
