LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0054_001,S0054,S0054_002,队长正常,“我们要退出现在的任务。”,1,false,,,,,,工会,,
S0054_002,S0054,S0054_003,,在所有人干的如火如荼时，一位对你而言单方面是熟人的存在突然出现在了工会前台。,0,false,,,,,,工会,,
S0054_003,S0054,S0054_004,,他浑身上下满是泥泞与污垢，似乎是刚刚从下水道之中离开。,0,false,,,,,,工会,,
S0054_004,S0054,S0054_005,前台正常,“您是可以退出，但退出的话，工费只能看到日结结算一少部分……”,0,false,,,,,,工会,,
S0054_005,S0054,S0054_006,队长正常,“少点就少点，我要立刻退出，然后就是我要一张加急的遗迹探索申请，今天之内就要拿到，这是加急费。”,1,false,,,,,,工会,,
S0054_006,S0054,S0054_007,前台正常,“嗯，了解了，请您在休息区稍作等待，我们在确认一下您的队伍信息之后就会为您办理。”,0,false,,,,,,工会,,
S0054_007,S0054,S0054_008,,队长来到了休息区与他的队员们汇合，所有人身上都满是泥巴和垃圾，但此刻他们却带着些许兴奋。,0,false,,,,,,工会,,
S0054_008,S0054,S0054_009,公会长正常,“真是怪事……喂，现在遗迹里还有什么人吗，能不能让人盯紧一点这些家伙。”,1,false,,,,,,工会,,
S0054_009,S0054,S0054_010,,公会长喊来了正在办理手续的前台，轻声问着。,0,false,,,,,,工会,,
S0054_010,S0054,S0054_011,前台正常,“现在大多数冒险者都在下水道，少部分在遗迹的也与我们没有直接合作关系……”,0,false,,,,,,工会,,
S0054_011,S0054,S0054_012,公会长正常,“那就算了，给他们办手续，后续有机会盯一盯他们。”,1,false,,,,,,工会,,
S0054_012,S0054,END,前台正常,“是，会长。”,0,false,,,,,,工会,,
