LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0061_001,S0061,S0061_002,军事大臣正常,“看看这些，骷髅阁下。”,1,false,,,,,,老铁的铁匠铺,,
S0061_002,S0061,S0061_003,,老旧的仓库内，过分潮湿的气息混杂着略带腐烂的气息在空气中弥漫——当然，你是闻不到的，这些都是近侍告诉你的。,0,false,,,,,,老铁的铁匠铺,,
S0061_003,S0061,S0061_004,,附近的军械都被防水布简单的盖着，仓库顶上甚至有些渗水，水滴这样子滴落在布上。,0,false,,,,,,老铁的铁匠铺,,
S0061_004,S0061,S0061_005,军事大臣正常,“这就是我们的军械库，城市里属于我们的人，除了王室的护卫和禁卫军，所谓的城防军完全形同虚设。”,1,false,,,,,,老铁的铁匠铺,,
S0061_005,S0061,S0061_006,军事大臣正常,“为什么，因为所有人都觉得‘学院会负责的，教会也会管着啊，而且不还有冒险者吗，为什么我们还要多花钱？’，一群蠢货。”,1,false,,,,,,老铁的铁匠铺,,
S0061_006,S0061,S0061_007,军事大臣正常,“我们的装备不如学院先进，我们也没有教会那样子的神术部队，我们甚至只能靠钱去买一群只认金币的佣兵？”,1,false,,,,,,老铁的铁匠铺,,
S0061_007,S0061,S0061_008,军事大臣正常,“哪天教会或者说学院有二心，他们是不是都可以直接冲进上城区，把枪指在我们脑袋上了？”,1,false,,,,,,老铁的铁匠铺,,
S0061_008,S0061,S0061_009,军事大臣正常,“看看现在破烂，不仅老旧，甚至年久失修，现在还泡了泡水——我们的装备难道的什么早餐麦片吗？”,1,false,,,,,,老铁的铁匠铺,,
S0061_009,S0061,S0061_010,军事大臣正常,“……骷髅阁下，现在的王，他……太过谨慎了，他被教学和学院吓到了。”,1,false,,,,,,老铁的铁匠铺,,
S0061_010,S0061,S0061_011,军事大臣正常,“他害怕一些动作会把学院和教会逼反……但如果不做点什么，他们还是会反的，只是形式与早晚。”,1,false,,,,,,老铁的铁匠铺,,
S0061_011,S0061,S0061_012,军事大臣正常,“也许王权的消亡是必然，但我们不能把自己的身家性命与未来放在别人手上。”,1,false,,,,,,老铁的铁匠铺,,
S0061_012,S0061,S0061_013,,你看着他缓缓闭上眼睛，在这腐朽的仓库之中，深吸了一口气。,0,false,,,,,,老铁的铁匠铺,,
S0061_013,S0061,END,军事大臣正常,“让你听我发牢骚了，装备的事情我会负责的，让我记住这里的气味吧，这都是学院与教会带给我们的……”,1,false,,,,,,老铁的铁匠铺,,
