LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0006_001,S0006,S0006_002,近侍介绍,“这里是下城区，再外面就外围了，在这里主要就是无法进入大势力勉强生活的贫民与农民的所在之处。”,1,false,,,,,,
S0006_002,S0006,S0006_003,近侍介绍,“而外围则更加的混乱一点，但因为外围那座山下是前代文明的遗迹所在，因此被划入了王都的管理范围内。”,1,false,,,,,,
S0006_003,S0006,S0006_004,近侍正常,“这里的人的生活就是从事一些机械的分拣工作，或者作为冒险者进行对遗迹的探索，勉强糊口的农作以及作为民兵保护城市。”,1,false,,,,,,
S0006_004,S0006,S0006_005,近侍正常,“……同时这里最大的势力除了冒险者构成的工会，就是帮派份子——而这也是所有人的默许。”,1,false,,,,,,
S0006_005,S0006,S0006_006,近侍严肃,“在大多数大人物眼中，下城区就是自己的耗材储备站，没人希望下城区有一个明确的指挥。”,1,false,,,,,,
S0006_006,S0006,S0006_007,近侍严肃,“我希望您的到来可以打破这一点。”,1,false,,,,,,
S0006_007,S0006,S0006_008,,仅仅是靠近了下城区，一股压抑的感觉便油然而生——上城区，教区，学院，就仿佛三座大山压在了下城区之上。,0,false,,,,,,
S0006_008,S0006,S0006_009,,由上城区的排水构成的河道贯穿了下城区，而沿着河道，凌乱的棚屋被座座建起。,0,false,,,,,,
S0006_009,S0006,S0006_010,,唯一还算看得过去的，是下城区边缘唯一的高层建筑——王都冒险者工会总部以及其附近的一小片建筑。,0,false,,,,,,
S0006_010,S0006,S0006_011,,在抵达下城区之前，总会长就已经带队迎接你们二人了。,0,false,,,,,,
S0006_011,S0006,S0006_012,近侍介绍,“这位是王都冒险者总部公会长，也是负责管理总部的工会……的会长。”,1,false,,,,,,
S0006_012,S0006,S0006_013,总会长正常,“听起来很复杂是吧，我也不喜欢理这套逻辑，叫我总会长就好。”,0,false,,,,,,
S0006_013,S0006,S0006_014,总会长正常,“看起来冒险者是一个组织，甚至有一个总部，但事实上就连这个总部也是由大大小小的冒险者工会组成的。”,0,false,,,,,,
S0006_014,S0006,S0006_015,总会长开心,“而我，就是管理这些工会的工会头头……听起来真的像绕口令，反正在下城区有需要的地方就告诉我就好。”,0,false,,,,,,
S0006_015,S0006,S0006_016,总会长正常,“大家说是冒险者，其实就是好听一点的佣兵——干的活从探索遗迹、护送某人某物、维持下城区治安，到贵族的猫溜到了下城区要找出来。”,0,false,,,,,,
S0006_016,S0006,S0006_017,总会长正常,“您能想到的活，冒险者都会做，毕竟，总比饿死好——况且就是种庄稼，上头都更加喜欢买点人形农具。”,0,false,,,,,,
S0006_017,S0006,S0006_018,总会长开心,“反正期待您的指挥！也感谢您的到来，老大！”,0,false,,,,,,
S0006_018,S0006,END,近侍尬笑,“……总工会背后是我一直在以您的名义出资运作，这是公开的秘密，大人，希望您不介意。”,1,false,,,,,,
