LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0003_001,S0003,S0003_002,,你被带到了房间之外，在经过一个个卫兵的敬礼后，你来到了这座城市的最高点，从上往下，你看到了这座城市的全貌。,0,false,,,,,,王城,,
S0003_002,S0003,S0003_003,,这是一座仿佛被拼凑起来一般的城市，有着巨大的高低落差，贫与富一眼即可看出，一道瀑布从排污口涌出成为了低处的水源。,0,false,,,,,,王城,,
S0003_003,S0003,S0003_004,近侍介绍,“这就是‘王都’，您最重要的工作场地，几乎一切重要的命令与政策都将从这座城市传出。”,1,false,,,,,,王城,,
S0003_004,S0003,S0003_005,近侍严肃,“同样的，这里也是国家的政治命脉，能出现在此处的势力都是无法忽视的巨物。”,1,false,,,,,,王城,,
S0003_005,S0003,S0003_006,近侍严肃,“这些巨物是国家运转的关键，对于王权而言也是潜在的威胁，如今它们已经彻底成长了起来，拥有抗衡王权命令的力量。”,1,false,,,,,,王城,,
S0003_006,S0003,S0003_007,近侍严肃,“这也就是那个带着王冠的家伙选择让我将您幻想的理由——他希望一个外置大脑与破局者来帮他收拾难题。”,1,false,,,,,,王城,,
S0003_007,S0003,S0003_008,,从她的语气之中听不出多少对王室的敬畏，但她的语气一直很平淡，听不出来真正的情绪。,1,false,,,,,,王城,,
S0003_008,S0003,S0003_009,近侍介绍,“现在我来为您简单介绍一下王都的城区分布，处理公文与日常工作时，我们所需注意的就是城区之间的关系。”,1,false,,,,,,王城,,
S0003_009,S0003,S0003_010,近侍正常,“一个初来乍到的空降大臣毫无疑问在初期会让他们有所质疑，而打消他们的质疑就是您的工作所在。”,1,false,,,,,,王城,,
S0003_010,S0003,S0003_011,近侍介绍,“我会将各个区域的【质疑度】汇总并呈现给您，您可以直观的感受到。”,1,false,,,,,,王城,,
S0003_011,S0003,S0003_012,近侍介绍,“每个城区都有一个或者说多个主导声音，拉拢和打压他们就是任务的关键。”,1,false,,,,,,王城,,
S0003_012,S0003,S0003_013,近侍介绍,“接下来我来为您介绍城区……”,1,false,,,,,,王城,高亮上城区，让玩家点击,
S0003_013,S0003,S0003_014,近侍介绍,“这里是上城区，王宫的所在地，上城区在一定程度上自给自足，但也只能短暂维持。”,1,false,,,,,,王城,,
S0003_014,S0003,S0003_015,近侍严肃,“除了王室，也有贵族和平民生活，但能在上城区拥有房产并生活的非富即贵。”,1,false,,,,,,王城,,
S0003_015,S0003,S0003_016,近侍严肃,“现在的贵族成分非常复杂，其中的不少人背后的家族在王都以外也有领地，甚至是军队。”,1,false,,,,,,王城,,
S0003_016,S0003,S0003_017,近侍正常,“和他们打交道需要小心，但不用太过小心——毕竟他们大多数都是躺在金币上活一辈子的家伙，除了少数几个大多都是庸庸碌碌之辈。”,1,false,,,,,,王城,回到大地图,
S0003_017,S0003,S0003_018,近侍正常,“不过今天暂时还不用和那群虫豸……咳，贵族打交道，等日后他们主动找来也不迟。”,1,false,,,,,,王城,,
S0003_018,S0003,S0003_019,近侍介绍,“关于各个势力的重要须知——如简要的组织结构划分，我会记录再您的随身【笔记】上。”,1,false,,,,,,王城,,
S0003_019,S0003,END,近侍正常,“让我们先去其他重要城区吧，我来为您带路，大人。”,1,false,,,,,,王城,玩家可选择教区、学院、以及下城区，顺序不固定,
