LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0005_001,S0005,S0005_002,近侍介绍,“这里是学院，原本属于下城区，但如今已经有独立的趋向。”,1,false,,,,,,
S0005_002,S0005,S0005_003,近侍严肃,“最初的祭司带着于王血脉相连之人——王的表亲，踏上了寻找王的旅途。”,1,false,,,,,,
S0005_003,S0005,S0005_004,近侍严肃,“而后在归来后，祭司承认了王的表亲亦有大智慧，是王合格的继承人——在王归来之前，就由他来领导国家。”,1,false,,,,,,
S0005_004,S0005,S0005_005,近侍严肃,“而王室为了感谢祭司的帮助，承认了祭司第一代教皇的身份。”,1,false,,,,,,
S0005_005,S0005,S0005_006,近侍撇嘴思考,“……但是当时的情景事实上是王的亲戚觉得祭司在剥夺王权，因此接着去寻找王的理由把他带出了王都。”,1,false,,,,,,
S0005_006,S0005,S0005_007,近侍撇嘴思考,“路上不知道发生了什么谁也没弄死谁，只能互相妥协了——而妥协之后双方争斗的产物就是学院。”,1,false,,,,,,
S0005_007,S0005,S0005_008,近侍介绍,“学院前身是神学院下属研究所，只是为了互相制约对方以及研究前代文明留下的遗物而诞生的。”,1,false,,,,,,
S0005_008,S0005,S0005_009,近侍介绍,“而后大量的贫民被吸纳，构成了现在的铸造工坊，学者也越来越多，于是学院彻底脱离了王室与教会的控制，成为了现在的巨物。”,0,false,,,,,,
S0005_009,S0005,S0005_010,,在一座座穿过一座座冒着黑烟的工坊构成的建筑群后，学院的本体——数座结合了锻造、科研与教学一体化的建筑群出现在了眼前。,0,false,,,,,,
S0005_010,S0005,S0005_011,,学徒们抱着书或零件快步的走着，只是在路过的时候对你们微微点头示意。,0,false,,,,,,
S0005_011,S0005,S0005_012,,在靠近学院后，一名学院高层将你带到了一间会议室内，里面两位学院的高层简单的起身相应后便安排你们入座。,0,false,,,,,,
S0005_012,S0005,S0005_013,院长正常,“欢迎二位来到学院，我是这所学院的院长，旁边这位是学院卫队的卫队长。”,0,false,,,,,,
S0005_013,S0005,S0005_014,,在近侍替你与二人握手之后，学院与卫队长对你微微点头示意。,0,false,,,,,,
S0005_014,S0005,S0005_015,院长正常,“关于二位探访的理由我已经知晓了，我在此代表学院承诺将履行学院的任务，妥善完成合作项目的。”,0,false,,,,,,
S0005_015,S0005,S0005_016,卫队长正常,“当然，我们希望可以处理一下关于教会试图插手……”,1,false,,,,,,
S0005_016,S0005,S0005_017,院长正常,“咳咳——我想大臣应该不止要探访我们一处吧，便不打扰了。”,0,false,,,,,,
S0005_017,S0005,END,,只是简单的交流后，学院的二人选择了送客，在你们离开后立刻有一份份文件被送入了会议室。,0,false,,,,,,
