LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0004_001,S0004,S0004_002,近侍介绍,“这里是教区，位于上城区和下城区的分界，国家的宗教信仰的核心。”,1,false,,,,,,教区背景,,
S0004_002,S0004,S0004_003,近侍正常,“这个国家由初代王征服统一，但王失踪在了此地，于是大家聚集此地等待着王的归来。”,1,false,,,,,,教区背景,,
S0004_003,S0004,S0004_004,近侍正常,“在王失踪后，负责为王撰写语言的学者跪在神像之下，九天九夜。”,1,false,,,,,,教区背景,,
S0004_004,S0004,S0004_005,近侍正常,“当其在生死之中，终于听到了王的祷言，他用刀子在石板下刻下，终于撰写完了最初的圣言。”,1,false,,,,,,教区背景,,
S0004_005,S0004,S0004_006,近侍正常,“在那之后，学者从屋中走出——容光焕发，于是也成为了最初的祭司，接过了信仰的权柄，传播王的荣光。”,1,false,,,,,,教区背景,,
S0004_006,S0004,S0004_007,近侍撇嘴思考,“……至少他们对外宣传是这样子的，如今的王正在被往神使的方向塑造，而教会内部也正在进行宗教改革。”,1,false,,,,,,教区背景,,
S0004_007,S0004,S0004_008,近侍撇嘴思考,“事实上的情况会复杂的多，但至少现在明面上王权是高于所谓的神权的。”,1,false,,,,,,教区背景,,
S0004_008,S0004,S0004_009,,路上的教徒抑或神职者在见到你们二人时纷纷右手放在左胸口而后向你们点头，似乎这就是他们打招呼的方式。,0,false,,,,,,教区背景,,
S0004_009,S0004,S0004_010,,当你靠近教区之中最核心的圣堂时，外面已经列好的队伍欢迎你们的到来。,0,false,,,,,,教区背景,,
S0004_010,S0004,S0004_011,,队伍的尽头，有两人正快步向你们走来表示欢迎。,0,false,,,,,,教区背景,,
S0004_011,S0004,S0004_012,主教正常,“许久未见，神选者，旁边这位就是我们未来的大臣吧，您好，我是教区的主教，旁边这位是我的学生。”,0,false,,,,,,教区背景,,
S0004_012,S0004,S0004_013,,在他的介绍下，身边的年轻人向着你们二人鞠了一躬。,0,false,,,,,,教区背景,,
S0004_013,S0004,S0004_014,近侍严肃,“教会发展至今，主教便是最高的宗教领袖，而他身边那位学生的身份则是大祭司，身份仅次于主教……同时也是最强的神术使用者。”,1,false,,,,,,教区背景,,
S0004_014,S0004,S0004_015,,近侍在你的耳边轻声的解释到，而主教则在她说完之后才继续说到。,0,false,,,,,,教区背景,,
S0004_015,S0004,S0004_016,主教正常,“这位新晋大臣看起来如此与众不同，很高兴王国还有如此底蕴，在各位的领导下，王国定会走向前所未有的辉煌。”,0,false,,,,,,教区背景,,
S0004_016,S0004,S0004_017,大祭司正常,“我亦代表教会全体祭司，向您承诺，教会将是您工作需要是最好的后盾——必要时也将成为指引方向的新月。”,1,false,,,,,,教区背景,,
S0004_017,S0004,END,,在简单的交流后，近侍带着你离开了。,0,false,,,,,,教区背景,,
