LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0050_001,S0050,S0050_002,龙本体嫌弃,“在事情解决之前，我是不会离开的。”,1,false,,,,,,
S0050_002,S0050,S0050_003,,此刻的龙哥仿佛刚刚从下水道之中捞出来一样，浑身上下散发着各种脏水的混合气味，头上炼金史莱姆的残骸甚至还在不断增殖然后又滴落。,0,false,,,,,,
S0050_003,S0050,S0050_004,龙本体嫌弃,“我就和人在诊所，吃着火锅唱着歌，突然下水道就炸了！”,1,false,,,,,,
S0050_004,S0050,S0050_005,龙本体嫌弃,“糊我一脸啊！有块史莱姆直接掉进我手下小伙子的嘴里了，到现在还没醒过来！”,1,false,,,,,,
S0050_005,S0050,S0050_006,龙本体嫌弃,“我已经不奢求赔偿了，能不能把下水道通一通，我的诊所已经要从里面被淹了。”,1,false,,,,,,
S0050_006,S0050,S0050_007,公会长正常,“……嗯，你的诉求呢，我已经了解了，对了，出去的时候记得交一下罚金。”,0,false,,,,,,
S0050_007,S0050,S0050_008,龙本体嫌弃,“为什么啊！这水管又不是我弄坏的！”,1,false,,,,,,
S0050_008,S0050,S0050_009,公会长正常,“不是，是违反了食品安全法导致使人中毒的罚金，火锅是你的对吧。”,0,false,,,,,,
S0050_009,S0050,S0050_010,公会长正常,“还有就是你头上的史莱姆是上城区观星者大人的，这一笔也要算在你头上。”,0,false,,,,,,
S0050_010,S0050,END,龙本体嫌弃,“……不是！为什么啊！”,1,false,,,,,,
说明,S0050,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0050,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0050,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0050,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0050,,,,,false,,,,,,
