LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0008_001,S0008,S0008_002,商会长正常,“哦~~~~~我的——”,0,false,,,,,,名字显示为？？？，立绘被从左边击飞到右边
S0008_002,S0008,S0008_003,,商会计划的提出人在出现的一瞬间就被总会长如同炮弹一般击飞，他那一抹靓丽的小胡子在空中缓慢飘落。,0,false,,,,,,
S0008_003,S0008,S0008_004,总会长生气,“给我像正常人一样说话……老大，这位是我是旧识——也是孽缘。”,0,false,,,,,,
S0008_004,S0008,S0008_005,总会长正常,“曾经家族作为商业巨头也算是辉煌一时，但如今还欠我家300金币。”,0,false,,,,,,
S0008_005,S0008,S0008_006,总会长生气,“但好歹曾经家族的底子还在，因此在他拿来所谓的王室文书的时候我才信了他的鬼话。”,0,false,,,,,,
S0008_006,S0008,S0008_007,商会长掉胡子,“呜啊……咳咳……哦，大臣阁下，您将我视作您手下最忠诚的商会长就好。”,1,false,,,,,,
S0008_007,S0008,S0008_008,商会长正常,“如您所见！这里就是我特地寻找过，最适合的商会选址，下城区最火热的集市！”,1,false,,,,,,
S0008_008,S0008,S0008_009,,烂菜叶在地上被踩烂之后发出腐烂的味道，虽然人来人往的确看起来足够热闹，但与想象中的集市还是相差甚远。,0,false,,,,,,
S0008_009,S0008,S0008_010,,在这里，最多的就是席地而坐的小贩，看起来正规一点的店铺也就是用铁棚子搭起来的。,0,false,,,,,,
S0008_010,S0008,S0008_011,商会长正常,“……下城区里大家都没啥钱，没事，我们也没发生挣穷鬼的钱。”,1,false,,,,,,
S0008_011,S0008,S0008_012,,小摊投来了死亡威胁的视线后，商会长立刻将公会长护至身前。,0,false,,,,,,
S0008_012,S0008,S0008_013,总会长正常,“老大，下城区的确没什么钱，但这里也绝对不是最火热的集市。”,0,false,,,,,,
S0008_013,S0008,S0008_014,商会长正常,“但这里是最便宜的有足够大的地方建造总部的地方了，而且最火热的集市是黑市，没人做引导根本进不去。”,1,false,,,,,,
S0008_014,S0008,S0008_015,骷髅思考,“为什么还有黑市，而且是在王都，那么明目张胆还叫黑市吗？”,0,false,,,,,,
S0008_015,S0008,S0008_016,商会长惊讶,“哦~大臣阁下，如果你去过你就知道那里的情况比较特殊——”,1,false,,,,,,
S0008_016,S0008,S0008_017,总会长生气,“所以你要负责带老大进去。”,0,false,,,,,,
S0008_017,S0008,S0008_018,商会长为难,“额——这个，这个问题的关键就在于——”,1,false,,,,,,
S0008_018,S0008,S0008_019,总会长生气,“不想蹲局子就给我想办法。”,0,false,,,,,,
S0008_019,S0008,END,商会长为难,“……是”,1,false,,,,,,
