LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0009_001,S0009,S0009_002,商会长正常,“大臣阁下，能带您进入黑市的人就在这里，我已经提前打点好了。”,1,false,,,,,,黑市,,
S0009_002,S0009,S0009_003,,在贫民窟的棚屋群之中，一栋相对相对正规且干净的小诊所出现在了面前。,0,false,,,,,,黑市,,
S0009_003,S0009,S0009_004,,但这诊所之中传出的声音却不是很友善——为何一座诊所会频频传出杀猪一般的声音与轻微的爆炸声。,0,false,,,,,,黑市,,
S0009_004,S0009,S0009_005,,进入诊所之中，农民、冒险者以及看起来是某种凶徒的家伙全部乖乖的等在的候诊室。,0,false,,,,,,黑市,,
S0009_005,S0009,S0009_006,,当诊室内的患者被抬出来后，你们在候诊室里的大家目送壮士的眼神之下，走进了诊室。,0,false,,,,,,黑市,,
S0009_006,S0009,S0009_007,商会长为难,“……这位就是可以带我们进入黑市的中间人，也是下城区最大的帮派拥有者，龙哥。”,1,false,,,,,,黑市,,
S0009_007,S0009,S0009_008,,在房间之中，是一个身材高挑行为优雅的男人，面具下的双瞳不断的在你们——尤其是近侍的身上打量。,0,false,,,,,,黑市,,
S0009_008,S0009,S0009_009,,但伴随着近侍轻轻地将手中的钥匙在地板一敲，整个小楼都猛烈的摇晃了一秒。,0,false,,,,,,黑市,,
S0009_009,S0009,S0009_010,,除了悬浮在空中的你，所有人都差点没有站稳，而对面也瞬间收起了目光。,0,false,,,,,,黑市,,
S0009_010,S0009,S0009_011,龙面具正常,“没想到是阁下的要求……居然让阁下亲自过来，是在下的失误。”,0,false,,,,,,黑市,,
S0009_011,S0009,S0009_012,近侍严肃,“你的道歉对象不是我，而应该是这位新晋的大臣阁下。”,1,false,,,,,,黑市,,
S0009_012,S0009,S0009_013,龙面具正常,“你说这个骷髅是……”,0,false,,,,,,黑市,,
S0009_013,S0009,S0009_014,,他的目光在飘过刚刚重新站定的商会长身上后，终于落在了你的身上，思考了几秒。,0,false,,,,,,黑市,,
S0009_014,S0009,S0009_015,龙面具正常,“抱歉，大臣阁下，为了以表歉意，这一次您的中介费我都会原封不动的退还的，为您服务是我的荣幸。”,0,false,,,,,,黑市,,
S0009_015,S0009,END,商会长惊讶,“……诶，不是，那是我的钱……”,1,false,,,,I0001,1,黑市,获得钱财,
