LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0024_001,S0024,S0024_002,大祭司正常,“骷髅阁下，感谢您的赏脸，老师的计划我已经听说过了，很完美，但也很昂贵。”,1,false,,,,,,学院背景,,
S0024_002,S0024,S0024_003,大祭司正常,“他太渴望拯救所有人，把一切都平衡好，这份温柔也成为了他与那位学院的院长最大的分歧。”,1,false,,,,,,学院背景,,
S0024_003,S0024,S0024_004,大祭司正常,“曾经情同手足的家伙如今变成了这样子，真是让人唏嘘……但我邀请您来不是让你来听这段无聊的过往的。”,1,false,,,,,,学院背景,,
S0024_004,S0024,S0024_005,大祭司正常,“我有一个提议，可以……相对廉价的平替掉老师的这份计划，来化解眼前这次最大的危机。”,1,false,,,,,,学院背景,,
S0024_005,S0024,S0024_006,大祭司正常,“老师希望扩宽上城区与下城区河道，同时新建一部分下城区以转移下城区河道旁的居民，随后以神术引导水流汇聚扩宽的河道内。”,1,false,,,,,,学院背景,,
S0024_006,S0024,S0024_007,大祭司正常,“这其中需要的人力与物力太多了，我的计划是，建立一座巨型的仪式台，而后通过我为媒介汇聚全城信仰，强行转移这场暴雨。”,1,false,,,,,,学院背景,,
S0024_007,S0024,S0024_008,大祭司正常,“现在的人们的对于天晴的渴望是最强烈的，只要有组织，我可以轻而易举的汇聚祷告产生的神力。”,1,false,,,,,,学院背景,,
S0024_008,S0024,S0024_009,大祭司正常,“比起老师的计划，我的计划你无需去安抚什么人，也无需搬迁什么，只需要给些许材料让我把仪式台建好。”,1,false,,,,,,学院背景,,
S0024_009,S0024,S0024_010,大祭司正常,“……只是我要提前说明这个仪式可能带来的后果——我无法保证暴雨的去向。”,1,false,,,,,,学院背景,,
S0024_010,S0024,S0024_011,大祭司正常,“它可能会往海上走，也可能飘到我们的领国或者说某个无人区，但也有可能去到附近的某个城市。”,1,false,,,,,,学院背景,,
S0024_011,S0024,S0024_012,大祭司正常,“但无论如何，飘移的过程可能会损耗不少水量，再糟糕也不会比王都被淹来的糟。”,1,false,,,,,,学院背景,,
S0024_012,S0024,END,大祭司正常,“这就是我的提案，骷髅阁下，您考虑一下吧。”,1,false,,,,,,学院背景,,
