LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0041_001,S0041,S0041_002,近侍撇嘴思考,“……大人，您还没有寄出去那封信吗？”,1,false,,,,,,
S0041_002,S0041,S0041_003,骷髅思考,“一直没有合适的人选，要么你来？”,0,false,,,,,,
S0041_003,S0041,S0041_004,近侍正常,“这样子我会长时间离开您的身边，因此容我拒绝。”,1,false,,,,,,
S0041_004,S0041,S0041_005,,如今，可以选择的仅有信使了，但在抵达信使驿站后，却发现这里忙忙碌碌几乎没有空闲之人。,0,false,,,,,,
S0041_005,S0041,S0041_006,前台正常,“这位大人，您是要来送信的吗……嗯，我们这里还有一个人有空，您看可以吗？”,1,false,,,,,,
S0041_006,S0041,S0041_007,,前台喊来了一个……原本在角落里偷偷摸鱼的信使，他的嘴边甚至还有没擦干净的酱料。,0,false,,,,,,
S0041_007,S0041,S0041_008|S0041_012,骷髅思考,“……就他吧。”|“……算了吧。”,0,true,,,,,,
S0041_008,S0041,S0041_009,骷髅正常,“我要把这份信送到其他城市的冒险者总部。”,0,false,,,,,,
S0041_009,S0041,S0041_010,信使正常,“好嘞，这有什么难的，就是最近路上还挺乱的，可能送的慢点哦。”,1,false,,,,,,
S0041_010,S0041,S0041_011,,信使接过信，随手塞到了包里，似乎完全没当一回事。,0,false,,,,,,
S0041_011,S0041,END,骷髅正常,“……我有些后悔了。”,0,false,,,,,,
S0041_012,S0041,S0041_013,骷髅正常,“我下一次等其他人有空了再来吧。”,0,false,,,,,,
S0041_013,S0041,S0041_014,信使正常,“没啥事我回去了哦，我还挺忙的嘞。”,1,false,,,,,,
S0041_014,S0041,S0041_015,,信使又跑回了原位，为自己泡了一壶茶，开始了明目张胆的摸鱼。,0,false,,,,,,
S0041_015,S0041,END,骷髅疑惑,“真的还有靠谱的人吗？”,1,false,,,,,,
说明,S0041,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0041,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0041,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0041,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0041,,,,,false,,,,,,
