LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0051_001,S0051,S0051_002,龙本体正常,“如你所见，大臣阁下，这是我浓缩了我目前可以找到最好的尸体和最好的技术，改造而出的最新产品……”,1,false,,,,,,工会,,
S0051_002,S0051,S0051_003,公会长正常,“……你又跑哪里去弄了尸体，一次次吃的罚单还不够吗？”,0,false,,,,,,工会,,
S0051_003,S0051,S0051_004,龙本体正常,“我这一次是走正规手续弄的，交了税的，虽然尸体的完整性不好，但其与现有改造科技的匹配性是真的好。”,1,false,,,,,,工会,,
S0051_004,S0051,S0051_005,公会长正常,“真的正规吗？”,0,false,,,,,,工会,,
S0051_005,S0051,S0051_006,龙本体正常,“学院卖的，王室特许的。”,1,false,,,,,,工会,,
S0051_006,S0051,S0051_007,,在谈话的期间，黑帮的人将一个新造的机仆运了上来。,0,false,,,,,,工会,,
S0051_007,S0051,S0051_008,,比起其他的机仆，这一次的机仆看起来更加像一个被用机械复活的人，甚至在眼神之中还可以看出一些情绪的样子。,0,false,,,,,,工会,,
S0051_008,S0051,S0051_009,,只是这个机仆看起来是越看越熟悉，总觉得在哪里看到过。,0,false,,,,,,工会,,
S0051_009,S0051,S0051_010,,而且那个眼神，总觉得对方似乎在心里攻击你或许已经不存在的家人的样子。,0,false,,,,,,工会,,
S0051_010,S0051,S0051_011,龙本体正常,“这个机仆，就作为礼物送给您了，用来做会议纪要很方便哦。”,1,false,,,,,,工会,,
S0051_011,S0051,END,骷髅疑惑,“……谢谢？”,0,false,,,,I0007,,工会,获得【下属：熟悉的机仆】,
