LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0057_001,S0057,S0057_002,龙本体正常,“现在的下城区越来越乱了，或者说，上面真的有人还在乎下城区的死活吗？”,1,false,,,,,,下城区,,
S0057_002,S0057,S0057_003,近侍,“注意一点你的言行。”,0,false,,,,,,下城区,,
S0057_003,S0057,S0057_004,龙本体正常,“好吧，好吧，但是大臣阁下，听说工会的那群人希望组建临时的治安巡逻队？”,1,false,,,,,,下城区,,
S0057_004,S0057,S0057_005,龙本体嫌弃,“哈，先不提冒险者说难听点自己就是一群鱼龙混杂的佣兵，他们自己能不能管好自己都难说。”,1,false,,,,,,下城区,,
S0057_005,S0057,S0057_006,龙本体正常,“就那么大的下城区，他们就是真的想管，难道管得过来吗，他们有些人甚至都人不齐下城区的路。”,1,false,,,,,,下城区,,
S0057_006,S0057,S0057_007,龙本体正常,“不如这样子的吧，让我手底下的小伙子来负责一阵子的安保。”,1,false,,,,,,下城区,,
S0057_007,S0057,S0057_008,龙本体正常,“他们知道什么地方可能出现问题，最关键是他们来管，也不用担心有人不服——大不了就……以德服人？”,1,false,,,,,,下城区,,
S0057_008,S0057,S0057_009,龙本体正常,“您看怎么样？”,1,false,,,,,,下城区,,
S0057_009,S0057,S0057_010|S0057_011,骷髅思考,“我觉得可以？但别给我添乱子了。”|“我觉得不行，你们自己都是乱子。”,0,true,,,,,,下城区,,
S0057_010,S0057,END,龙本体正常,“还真行？好嘞，我这就去组织小伙子们干活。”,1,false,,,,,,下城区,,
S0057_011,S0057,END,龙本体正常,“行吧，行吧，那我就让我的小伙子们管管好自己的底盘就成。”,1,false,,,,,,下城区,,
