LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0018_001,S0018,S0018_002,,在上城区排水系统最大的入口处，一个个帐篷甚至是临时的棚屋被搭建了起来，用以调度协调各方的人手与物资。,0,false,,,,,,营地,,
S0018_002,S0018,S0018_003,,学院的科研人员，教会的祭司，在打前锋的冒险者的保护下，开始有序的进入下水道之中。,0,false,,,,,,营地,,
S0018_003,S0018,S0018_004,公会长正常惊讶,“无论看几次，这个下水道都让人感觉到惊奇啊，究竟是怎么建造出来的。”,0,false,,,,,,营地,,
S0018_004,S0018,S0018_005,,数人之高的管道，专门供人通过的通道甚至是房间，以及遍布整个王都上城区，一部分下城区甚至是衍生到遗迹的规模。,0,false,,,,,,营地,,
S0018_005,S0018,S0018_006,,都让人难以想象前文明在建造它的时候花费了多大的力气，也让人好奇，它真的只是一个排水系统吗。,0,false,,,,,,营地,,
S0018_006,S0018,S0018_007,公会长正常,“但现在要维护它的是我们，就让人比起惊奇，更多的是无奈了——我们甚至没有一张完整的地图。”,0,false,,,,,,营地,,
S0018_007,S0018,S0018_008,公会长正常,“接下来要做的工作量不少，恐怕是个持久战。”,0,false,,,,,,营地,,
S0018_008,S0018,S0018_009,大祭司正常,“没办法，之前那些贵族甚至不会轻易同意我们的人进到上城区——他们觉得我们在污染上城区。”,1,false,,,,,,营地,,
S0018_009,S0018,S0018_010,公会长正常,“学院那边派的人呢？”,0,false,,,,,,营地,,
S0018_010,S0018,S0018_011,大祭司正常,“安排了一个大师，已经跟着队伍一起跑进去了，我栏过了，没拦住，我完成外面的工作也要亲自进去一次了——我至少得大概了解情况。”,1,false,,,,,,营地,,
S0018_011,S0018,S0018_012,公会长开心,“感谢你们这一次的帮助了——上城区的那些人完全不管下城区的死活。”,0,false,,,,,,营地,,
S0018_012,S0018,END,大祭司生气,“那是因为他们绝大多数都是一群……没什么，我先走了。”,1,false,,,,,,营地,,
