LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0022_001,S0022,S0022_002,,晨会上，此次勘探的结果终于出来了，也正是因为这一份结果报告，导致在场没有一个人笑得出来。,0,false,,,,,,
S0022_002,S0022,S0022_003,院长正常,“陛下，探索结果已经出来了，目前我们已经勘探的区域仅仅是管道系统的一层不到——多处队伍传回发现通往下层的新区域的信息”,0,false,,,,,,
S0022_003,S0022,S0022_004,院长辩论,“根据估算，如果完全彻底探测可能需数月至数年不止，我们没有这个时间了。”,0,false,,,,,,
S0022_004,S0022,S0022_005,主教正常,“同时我们的祭司也报告撑，有多处坍塌区域经过神术探测，内里原本是疏水系统，这代表着管道系统的排水能力是不如曾经的。”,1,false,,,,,,
S0022_005,S0022,S0022_006,主教正常,“如果雨量加大，现在的排水系统很有可能承受不住压力。”,1,false,,,,,,
S0022_006,S0022,S0022_007,大贵族正常,“会对上城区有什么影响吗？”,1,false,,,,,,
S0022_007,S0022,S0022_008,院长正常,“会，但绝对没有下城区将会遇到的问题严重，一旦排水系统无法承受，可能原本定量的水阀会瞬间被冲垮而后决堤。”,0,false,,,,,,
S0022_008,S0022,S0022_009,院长正常,“下城区将会彻底被冲毁。”,0,false,,,,,,
S0022_009,S0022,S0022_010,大贵族正常,“那直接让他们全部搬走，然后提前开阀放水避免决堤，事情不就过去了，哪有那么麻烦。”,1,false,,,,,,
S0022_010,S0022,S0022_011,主教正常,“这不是让他们搬走就可以搬走的事情，如此庞大的人口，完全办理完全不现实，而且还有不少耕地位于郊外。”,0,false,,,,,,
S0022_011,S0022,S0022_012,主教正常,“况且很多东西是无法搬走的，绝对会有很多人拒绝搬离，。”,0,false,,,,,,
S0022_012,S0022,S0022_013,院长正常,“但我们也不可能完全不做，搬走一部分然后全力加固上城区也是一个办法。”,1,false,,,,,,
S0022_013,S0022,S0022_014,大贵族生气,“要我说，你们就是太在乎下面那群人了，反正他们都是一窝一窝生的，他们愿意在大水里游泳就在里面游嘛。”,1,false,,,,,,
S0022_014,S0022,S0022_015,王闭眼,“好了，大家下去给我一个可行的方案，要快，不要等雨停了再出方案了，骷髅，你负责决定通过哪个方案。”,0,false,,,,,,
S0022_015,S0022,END,,“是。”,0,false,,,,,,
