LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0002_001,S0002,S0002_002,,在重新进行了一番修整后，终于可以移动了起来——但说是移动，更多的感觉是浮动，你也终于通过整备时的镜子看到了自己的模样。,0,false,,,,,,宝库and占星室,,
S0002_002,S0002,S0002_003,,但在你进一步了解现状之前，你就被带到了一处办工桌前，似乎是为了掩饰尴尬，王早早的离开了，现在只剩下了你与你面前之人。,0,false,,,,,,宝库and占星室,,
S0002_003,S0002,S0002_004,近侍正常,“很高兴见到您的苏醒，大人，我是您的贴身近侍，负责您的安全、日常与生活起居——包括维护保养。”,1,true,,,,,,宝库and占星室,,
S0002_004,S0002,S0002_005|S0002_008,,“……”|“额额额啊啊啊啊啊啊额额额额额咕咕嘎嘎——”,0,false,,,,,,宝库and占星室,,
S0002_005,S0002,S0002_006,近侍严肃,“看起来您现在有很多疑问。”,1,false,,,,,,宝库and占星室,,
S0002_006,S0002,S0002_007,近侍严肃,“您可以不用担心，现在的情况并不像那个因为嫌工作太多就拉您出来的家伙口中说的那样严峻。”,1,false,,,,,,宝库and占星室,,
S0002_007,S0002,S0002_013,近侍严肃,“您有很多时间可以亲自用您的双眼去探索与查证您所渴望知晓的一切。”,1,false,,,,,,宝库and占星室,骷髅死机,
S0002_008,S0002,S0002_009,,近侍立刻抓住了你，以斜45°角用力拍击了三下，原本混乱的头脑瞬间神清气爽。,0,false,,,,,,宝库and占星室,,
S0002_009,S0002,S0002_010,近侍抬手,“看起来您……嗯……算了，以后再说出了问题再说吧。”,1,false,,,,,,宝库and占星室,,
S0002_010,S0002,S0002_011,近侍严肃,“无论如何，我将忠于我曾发下的誓言，遵守我的律令，因此您可以将一切交给我——包括您的维修，我的大人。”,1,false,,,,,,宝库and占星室,,
S0002_011,S0002,S0002_012,近侍严肃,“虽然现在的情况并不像那个因为嫌工作太多就拉您出来的家伙口中说的那样严峻，但我们仍然需要您进入状态。”,1,false,,,,,,宝库and占星室,,
S0002_012,S0002,S0002_013,近侍严肃,“我会陪着您一同去用您的双眼去探索与查证您所渴望知晓的一切。”,1,false,,,,,,宝库and占星室,,
S0002_013,S0002,S0002_014,骷髅疑惑,“但我什么都记不起来了。”,0,false,,,,,,宝库and占星室,,
S0002_014,S0002,S0002_015,近侍正常,“这不是重要的问题，失忆是您的决定，具体情况……虽然成为谜语人并非我所想——因为律令我也无法告诉您过去之事。”,1,false,,,,,,宝库and占星室,,
S0002_015,S0002,S0002_016,近侍正常,“但值得庆幸的是，您的记忆并非工作的必要，接下来我会为您简单的介绍您工作的流程，而后进行您上任之前必要的环节。”,1,false,,,,,,宝库and占星室,,
S0002_016,S0002,S0002_017,近侍介绍,“您最大的工作就是【处理国家的政务】，简单来说就是审批公文。”,1,false,,,,,,宝库and占星室,,
S0002_017,S0002,S0002_018,近侍正常,“但您并不需要太过操心细节，您的工作只需要决定一份公文是否通过，而具体的执行并不需要您费心。”,1,false,,,,,,宝库and占星室,,
S0002_018,S0002,S0002_019,近侍介绍,“提交公文之人会站在我现在的位置，而后将他们认为重要且必须的公文递交给您，而后您做出决定，就是如此简单。”,1,false,,,,,,宝库and占星室,,
S0002_019,S0002,S0002_020,近侍正常,“就像这样子——正好那位并没有按照流程办事，让我们将流程补上。”,1,false,,,,,,宝库and占星室,一份写着“是否准许启用遗物进行政务辅助处理”的公文弹出，玩家按下通过后继续,
S0002_020,S0002,S0002_021,近侍严肃,“您所盖的章为王室印章，除‘王室’外不允许任何人使用，但您不是人，所以您是被特许的。”,1,false,,,,,,宝库and占星室,,
S0002_021,S0002,S0002_022,近侍严肃,“但也请您知道这份印章的份量，这是权力，亦是责任。”,1,false,,,,,,宝库and占星室,,
S0002_022,S0002,END,近侍介绍,“好了，让我们去进行您上任前的必要环节吧——我会为您介绍您目前所需知的一切。”,1,false,,,,,,宝库and占星室,,
