LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0042_001,S0042,S0042_002,,在日常的教会巡视时，却发现原本应该人满为患的主圣堂此刻只有寥寥数人，护教军与王室护卫都警惕着周围。,0,false,,,,,,
S0042_002,S0042,S0042_003,,而原本用于布道的场所此刻却仿佛学堂一般，王女与祭司们都坐在台下，而最年轻的大祭司此刻正在台上对着白板不断写下一道道神术公式。,0,false,,,,,,
S0042_003,S0042,S0042_004,大祭司正常,“……所以，所谓的神术并非‘奇迹’亦或者是‘神迹’，或者是只靠祈祷就可以换来的恩典。”,1,false,,,,,,
S0042_004,S0042,S0042_005,大祭司正常,“相反，它更加像炼金术——亦或者说数学公式，是一门相当严谨且复杂的科学。”,1,false,,,,,,
S0042_005,S0042,S0042_006,大祭司正常,“我们需要了解神术的本质，撕开神术外表的神学外衣，真正的理解它。”,1,false,,,,,,
S0042_006,S0042,S0042_007,大祭司正常,“所谓神术，其本质就是通过语言，仪式，法阵等，引导我们尚在研究的一种能量以特定的形式转变并呈现的过程。”,1,false,,,,,,
S0042_007,S0042,S0042_008,大祭司正常,“而神术作为一门科学，我们目前最重要的就是——神术的实用化！”,1,false,,,,,,
S0042_008,S0042,S0042_009,大祭司正常,“只能被一个人理解并使用，或者说花费数十个小时只能让一块宝石发出好看的光的神术，可以有，但从来不是刚需。”,1,false,,,,,,
S0042_009,S0042,S0042_010,大祭司正常,“我们应该去研究怎么松土，怎么治病，怎么把一些实用神术简化到一个农民都可以简单的使用一两条……”,1,false,,,,,,
S0042_010,S0042,S0042_011,,大祭司在台上讲的热火朝天，但台下似乎除了王女似乎没有一个人在认真听。,0,false,,,,,,
S0042_011,S0042,S0042_012,,在结束授课后，祭司们飞速的散了场，只留下了你们与王女以及大祭司。,0,false,,,,,,
S0042_012,S0042,S0042_013,王女,“大臣，我们又见面了……老师，你的课似乎其他人都无法理解，在他们看来你的言论就是在破坏教会的神圣性与权威。”,0,false,,,,,,
S0042_013,S0042,S0042_014,大祭司正常,“他们只是嫉妒我的天赋，但只要我还是一天大祭司他们就得听我的。”,1,false,,,,,,
S0042_014,S0042,END,大祭司正常,“很高兴骷髅阁下也能听听我的拙见，只是您下次能提前打声招呼就好了——您走路脚步声都没有，突然出现有些……”,1,false,,,,,,
说明,S0042,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0042,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0042,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0042,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0042,,,,,false,,,,,,
