LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0045_001,S0045,S0045_002,王女正常,“大臣，我们又见面了，请让你的侍从和我决斗。”,0,false,,,,,,图书馆,,
S0045_002,S0045,S0045_003,骷髅惊讶,“……她做了什么吗？”,1,false,,,,,,图书馆,,
S0045_003,S0045,S0045_004,,在日常的工作结束后，王女突然出现在了面前，拦住了准备下班的你和近侍。,0,false,,,,,,图书馆,,
S0045_004,S0045,S0045_005,王女正常,“你误会了，我只是想试试看自己现在有多强。”,0,false,,,,,,图书馆,,
S0045_005,S0045,S0045_006,,在确认了近侍没问题后，王女接过了王室护卫递来的练习用剑，直接在大厅之中与近侍开始了决斗练习。,0,false,,,,,,图书馆,,
S0045_006,S0045,S0045_007,王女正常,“我要上了——！”,0,false,,,,,,图书馆,,
S0045_007,S0045,S0045_008,,王女用肉眼几乎不可视的速度向近侍冲去，未开刃的铁剑在空中发出了破空声。,0,false,,,,,,图书馆,,
S0045_008,S0045,S0045_009,,但近侍甚至没有移动一下脚步，只是随手挥动了一下那巨大的钥匙，随后，王女被直接击退了数米之远才堪堪站定，而铁剑则直接断为了两节。,0,false,,,,,,图书馆,,
S0045_009,S0045,S0045_010,近侍抬手,“承让了，殿下。”,1,false,,,,,,图书馆,,
S0045_010,S0045,S0045_011,王女正常,“承让的是我这里……我能拜你为师吗？我听说你曾经是用剑好手，我希望你能教我剑术。”,0,false,,,,,,图书馆,,
S0045_011,S0045,S0045_012,近侍正常,“殿下，在这个时代，个人的武力已经慢慢退下了舞台，曾经，一个强者可以以一敌百，现在以一敌十就已经是武力的巅峰。”,1,false,,,,,,图书馆,,
S0045_012,S0045,S0045_013,近侍正常,“但这是能力的倒退吗？不，神选者仍然存在，个体的强者也依旧存在，但装备弥补了这一点。”,1,false,,,,,,图书馆,,
S0045_013,S0045,S0045_014,近侍正常,“因此殿下，您的剑术已经够用了，您接下来也许去深入学习如何安排调遣指挥强者也许更加实用。”,1,false,,,,,,图书馆,,
S0045_014,S0045,S0045_015,王女正常,“所以你不教吗？”,0,false,,,,,,图书馆,,
S0045_015,S0045,END,近侍正常,“我有工作要做，因此请恕我拒绝。”,1,false,,,,,,图书馆,,
