LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0063_001,S0063,S0063_002,龙本体嫌弃,“那些冒险者，简直全是一群饭桶，就一些邪教徒，都解决不了吗！”,1,false,,,,,,工会,,
S0063_002,S0063,S0063_003,,只是靠近诊所，龙哥的大骂就已经传了出来，一样的内容反反复复的用不同的方式重复了好几次。,0,false,,,,,,工会,,
S0063_003,S0063,S0063_004,骷髅疑惑,“他怎么了，今天脾气那么大。”,0,false,,,,,,工会,,
S0063_004,S0063,S0063_005,公会长正常,“啊，他的一个私库被抢了——关键是因为是私库，所以平时那边连个巡逻的人都没有。”,1,false,,,,,,工会,,
S0063_005,S0063,S0063_006,骷髅疑惑,“没去找你们麻烦？”,0,false,,,,,,工会,,
S0063_006,S0063,S0063_007,公会长正常,“投诉也让他排队去，现在没空管这些小事，邪教徒和虫子一样到处都是，而且他们逼急了是真的会咬人。”,1,false,,,,,,工会,,
S0063_007,S0063,S0063_008,,谈话中，龙哥已经冲出了诊所，在路过你们的时候狠狠的瞪了一眼公会长。,0,false,,,,,,工会,,
S0063_008,S0063,S0063_009,龙本体嫌弃,“你等着！你们干不了的事情我来干，我亲自带人去把那群天杀的邪教徒全杀了！”,1,false,,,,,,工会,,
S0063_009,S0063,S0063_010,,撂下狠话后，龙哥便扬长而去。,0,false,,,,,,工会,,
S0063_010,S0063,S0063_011,骷髅疑惑,“你说他能行吗？”,0,false,,,,,,工会,,
S0063_011,S0063,END,公会长正常,“别说把东西抢回来了，我看别被打死就是极限。”,1,false,,,,,,工会,,
