LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0021_001,S0021,S0021_002,公会长正常惊讶,“老大，管道勘探那边出现了意外，他们遇到了一大块被封锁的区域，导致各方都被堵在那边了。”,1,false,,,,,,营地,,
S0021_002,S0021,S0021_003,骷髅疑惑,“不能绕过去吗？”,0,false,,,,,,营地,,
S0021_003,S0021,S0021_004,公会长正常,“不太行，被封锁的区域挺大的，绕过去需要考虑的太多，而且各方都用自己的手段探勘到了里面有些什么东西。”,1,false,,,,,,营地,,
S0021_004,S0021,S0021_005,公会长正常,“现在各方都在对峙，谁都进不去也不想让对面先进去得了好处。”,1,false,,,,,,营地,,
S0021_005,S0021,S0021_006,近侍严肃,“这时候还在搞这出……”,1,false,,,,,,营地,,
S0021_006,S0021,S0021_007,公会长正常,“我可以调度安排精锐冒险者和物资帮助他们一方来合力突破封锁。”,1,false,,,,,,营地,,
S0021_007,S0021,S0021_008,公会长正常,“不是我不想独吞，是里面的阻碍太多了——大量的堕落生物堆积在里面，只靠冒险者实在是无法突入。”,1,false,,,,,,营地,,
S0021_008,S0021,S0021_009,公会长正常,“老大，你来决定我们帮谁吧，他们都说愿意事后回报我们。”,1,false,,,,,,营地,,
S0021_009,S0021,S0021_010|S0021_010|S0021_010|END,,帮助学院|帮助教会|帮助黑帮|此事再议,0,true,I0001,1,TRUE|TRUE|TRUE,,,营地,所需【钱财】，任务持续到水灾13，给予【学院】后获得【残破图纸】，给予【教会】后获得【神术·改良：蓄水】，给予【黑帮】后获得【大量钱财】,
S0021_010,S0021,END,公会长开心,“是，老大，收到，我这就去开始召集人手！”,1,false,,,,,,营地,,
