LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0038_001,S0038,S0038_002,,在下城区中，在商会成立之后集市理所应当的重新找了个空地搭起了棚子。,0,false,,,,,,
S0038_002,S0038,S0038_003,,而现在原本还人来人往的集市之中，一个衣装华丽看起来格格不入的存在正在逃窜。,0,false,,,,,,
S0038_003,S0038,S0038_004,护教军正常,“长官，已经逼到下城区了，正在收网。”,0,false,,,,,,
S0038_004,S0038,S0038_005,,一名教会的祭司带领着一队护教军在后面追逐着，他们并没有发现暗中观察的你，而是准备直接封锁集市。,0,false,,,,,,
S0038_005,S0038,S0038_006,,但一队学院卫队从小巷之中出现了，就这样子堵在了护教军与集市之间。,0,false,,,,,,
S0038_006,S0038,S0038_007,祭司正常,“让开，这是教会正在肃清内部，学院无权插手。”,1,false,,,,,,
S0038_007,S0038,S0038_008,,祭司从队伍里站了出来，伴随着神术祷文的念诵，附近的空气开始出现闪烁的光点，而卫队对此的回应则是一致的拉栓声。,0,false,,,,,,
S0038_008,S0038,S0038_009,,两边就在集市外围对峙着，知道不知道什么时候，黑帮的人将被追捕者悄悄的从小巷带走，祭司才不情愿的带队离去。,0,false,,,,,,
S0038_009,S0038,END,骷髅正常,“……真是越来越好玩了。”,,false,,,,,,
说明,S0038,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0038,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0038,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0038,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0038,,,,,false,,,,,,
