LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0039_001,S0039,S0039_002,公会长正常,“根据您的指示，我已经查清楚发生了什么了。”,1,false,,,,,,下城区,,
S0039_002,S0039,S0039_003,公会长正常,“那个被教会追捕的家伙是一个粮商，在得到贵族的指示后，买通冒险者一次次劫走或偷走教会的救济粮，然后便宜卖给学院和黑帮。”,1,false,,,,,,下城区,,
S0039_003,S0039,S0039_004,公会长正常,“现在被堵在了安全屋里——也就是现在这个情况了。”,1,false,,,,,,下城区,,
S0039_004,S0039,S0039_005,,在贫民窟里的一片建筑外，黑帮垒砌了简单的街垒堵住了出入口。,0,false,,,,,,黑市,,
S0039_005,S0039,S0039_006,,学院卫队正在依托街垒与教会对峙，在最显眼的位置，卫队长正在观察教会的动向。,0,false,,,,,,下城区,,
S0039_006,S0039,S0039_007,,而教会方，大祭司直接带队将这个建筑群死死围住，在其带领的十余名祭司的神术引导下，巨大的光幕直接将整个区域都被完全扣死。,0,false,,,,,,下城区,,
S0039_007,S0039,S0039_008,,两派的二把手互相对峙，如今已经不是简单的粮商问题，已经上升到了两派势力的颜面问题了。,0,false,,,,,,下城区,,
S0039_008,S0039,S0039_009,公会长正常,“所以老大，现在需要你来调停了。”,1,false,,,,,,下城区,,
S0039_009,S0039,S0039_010,,在近侍的护卫下，你穿过了护教军的队伍，来到了光幕旁，而卫队长见状也放下武器来到了光幕之后。,0,false,,,,,,下城区,,
S0039_010,S0039,S0039_011,,大祭司猛的用权杖敲击地面，光幕又凝实了几分后，也来到了光幕旁。,0,false,,,,,,下城区,,
S0039_011,S0039,S0039_012,大祭司正常,“我们的诉求很简单，也很合理，我要求学院停止保护那个窃贼并归还赃物。”,1,false,,,,,,下城区,,
S0039_012,S0039,S0039_013,大祭司正常,“——他偷走的不仅仅是粮食，还有下城区无数等待面包之人的希望！”,1,false,,,,,,下城区,,
S0039_013,S0039,S0039_014,卫队长辩论,“学院购入这批粮食的钱是干干净净的真金白银，无数学徒嗷嗷待哺，他们吃不饱甚至挥不动锤子。”,0,false,,,,,,下城区,,
S0039_014,S0039,S0039_015,卫队长辩论,“让那些有手有脚却还要白嫖面包的人干活去，学院没有理由承担你们教会的损失。”,0,false,,,,,,下城区,,
S0039_015,S0039,S0039_016,,所有人的目光落在了你的身上，如果给不出一个结果两边都不会罢休的。,0,false,,,,,,下城区,,
S0039_016,S0039,S0039_017,近侍撇嘴思考,“不能让事态继续升级了，大人，做出决定吧。”,1,false,,,,,,下城区,,
S0039_017,S0039,S0039_018|S0039_024,骷髅思考,“别管这个粮商了，我保证他以后不会在干了，大祭司。”|“卫队长，请带着你的人离开这里，把粮商和粮食留下。”,0,true,,,,,,下城区,,
S0039_018,S0039,S0039_019,大祭司生气抬手,在一瞬间，地面连带着所有人都开始猛烈摇动，光幕开始愈来愈刺眼，可以站稳的只有你、近侍、卫队长与大祭司四人。,1,false,,,,,,下城区,,
S0039_019,S0039,S0039_020,,最后，伴随着光幕缓缓黯淡了下来，震动也停止了，大祭司全程只是平静的看着你。,0,false,,,,,,下城区,,
S0039_020,S0039,S0039_021,,随后，他只是挥了挥手，刚刚站稳的祭司与护教军不知所措的互相看了一眼，而后默默的离开了。,0,false,,,,,,下城区,,
S0039_021,S0039,S0039_022,大祭司生气,“骷髅阁下，我理解您也许有需要衡量的考虑，但请记住——不要把人仅仅当做是政治游戏之中可丢弃筹码。”,1,false,,,,,,下城区,,
S0039_022,S0039,S0039_023,,随后他转身离开，光幕也彻底消失了。,0,false,,,,,,下城区,,
S0039_023,S0039,END,卫队长正常,“很高兴您做出了正确且理性的决策，学院会记住您的帮助。”,0,false,,,,,,下城区,,
S0039_024,S0039,S0039_025,,卫队长死死的盯着你，在沉默了许久后，一击直拳打在了光幕之上。,0,false,,,,,,下城区,,
S0039_025,S0039,S0039_026,,瞬间光幕开始猛烈的摇晃，在短暂的爆发光芒之后，黯淡了几分，而卫队长脸上已经没有了愤怒的神情。,0,false,,,,,,下城区,,
S0039_026,S0039,S0039_027,卫队长生气,“打开光幕，我们离开。”,0,false,,,,,,下城区,,
S0039_027,S0039,S0039_028,,在传令下，卫队开始重新集结，准备一同离开，而黑帮也不得不开始移开街垒。,0,false,,,,,,下城区,,
S0039_028,S0039,S0039_029,卫队长生气,“大臣，我希望您能意识到，进步的火种不是靠施舍换取的，必要的牺牲才能换来前进的道路。”,0,false,,,,,,下城区,,
S0039_029,S0039,END,大祭司正常,“骷髅阁下，感谢您站在了道德与正义的一方，教会会记住您的帮助。”,1,false,,,,,,下城区,,
