LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0019_001,S0019,S0019_002,公会长正常,“现在勘探停止了——里面的情况比我们想象的还要复杂。”,1,false,,,,,,
S0019_002,S0019,S0019_003,,在帐篷内，所有人都站在被临时绘制出的简单地图前，看着一块块被标注出来的问题。,0,false,,,,,,
S0019_003,S0019,S0019_004,公会长正常,“现在里面堪比牛鬼蛇神的晚会，一部分逃犯窝藏在里面甚至开始抱团，我们的冒险者已经和他们对上了。”,1,false,,,,,,
S0019_004,S0019,S0019_005,公会长正常,“但这还不是最糟的，里面甚至还有游荡的堕落者，在这种不清楚地形的地方，如果不是祭司会战斗神术整个勘探队都得死里面。”,1,false,,,,,,
S0019_005,S0019,S0019_006,公会长生气,“还有这一片，路已经因为上面贵族的违章扩建地下室坍塌堵死了——我们的队伍人手严重不足。”,1,false,,,,,,
S0019_006,S0019,S0019_007,骷髅思考,“至少我们知道我们接下来要面对什么了，让各方的人先回去，冒险者也都先回来。”,0,false,,,,,,
S0019_007,S0019,S0019_008,骷髅正常,“在重新组织对应的人手之后，再重新进入，现在让各方都抓紧准备起来。”,0,false,,,,,,
S0019_008,S0019,S0019_009,近侍严肃,“是，我的大人。”,1,false,,,,,,
S0019_009,S0019,S0019_010,公会长正常,“现在只靠冒险者的人手已经不够了，但黑帮那边表示他们也可以参入进来。”,1,false,,,,,,
S0019_010,S0019,S0019_011,骷髅正常,“……让他们来吧，看着点他们别让他们继续添乱了。”,0,false,,,,,,
S0019_011,S0019,END,公会长开心,“是，老大。”,1,false,,,,,,
