LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0012_001,S0012,S0012_002,,在结束了对王的日常汇报工作后，你回到了工作的位置上，但在近侍为你取来今天的任务之前，一个从未见过的人出现在了你的面前。,0,false,,,,,,
S0012_002,S0012,S0012_003,,她看起来有些神经质，面庞十分的年轻，双手却如同老人一般略显干涸，她看着你，看了好一会儿。,0,false,,,,,,
S0012_003,S0012,S0012_004,,沉默就这样子蔓延着，直到近侍开口打破了这份让人疑惑的死寂。,0,false,,,,,,
S0012_004,S0012,S0012_005,近侍严肃,“观星者，我想你允许你出现在这位大人面前，不是让你在这里大眼瞪小眼的。”,1,false,,,,,,
S0012_005,S0012,S0012_006,观星者正常,“……我只是在确认我究竟是在现实，还是在一场新的梦境。”,0,false,,,,,,
S0012_006,S0012,S0012_007,近侍严肃,“你再继续神神叨叨的下去，我就把你轰出去了。”,1,false,,,,,,
S0012_007,S0012,S0012_008,观星者疯癫,“暴雨就要来了，骷髅，暴雨，不是童话里洗净一切的雨，那是纯粹的毁灭与灾难——城市会被暴雨冲垮的。”,0,false,,,,,,
S0012_008,S0012,S0012_009,观星者疯癫,“我需要一座塔，一座很高很高，比现在最高的建筑还要高，可以让我看清天相的塔，骷髅，这真的很重要。”,0,false,,,,,,
S0012_009,S0012,S0012_010,近侍抬手,“那些贵族不会同意的，他们会觉得你是在挑衅他们，甚至那个王都会觉得你是在暗示谁都可以盖过他了。”,1,false,,,,,,
S0012_010,S0012,S0012_011,观星者疯癫,“这是为了科学。”,0,false,,,,,,
S0012_011,S0012,S0012_012,近侍抬手,“他们才不管科学。”,1,false,,,,,,
S0012_012,S0012,END,观星者正常,“那就麻烦骷髅，你来好好想想做一下决定了。”,0,false,,,,,,
