LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0013_001,S0013,S0013_002,大贵族生气,“不可能！今天答应一个连爵位都没有的平民在我们头顶建塔，明天是不是下城区的乞丐就可以住到我们家了？”,1,false,,,,,,
S0013_002,S0013,S0013_003,,与近侍猜的一模一样，这个提案被提出之后，贵族立刻发出了尖锐的爆鸣，就连王座上的那位都开始了皱眉。,0,false,,,,,,
S0013_003,S0013,S0013_004,主教辩论,“这位先生，我希望您收回您的轻蔑——那是一位真正的神启之人发出的警示，我们都应该提起重视。”,0,false,,,,,,
S0013_004,S0013,S0013_005,王闭眼,“……学院那边有什么想说的吗，你们不是最反感教会那边的神启论了吗？今天怎么那么安静。”,1,false,,,,,,
S0013_005,S0013,S0013_006,院长辩论,“我的意见与主教阁下一致——那位观星者是……真正的天才，况且所谓的天相也是一种严密的科学。”,0,false,,,,,,
S0013_006,S0013,S0013_007,大贵族生气,“你们那毫无根据的科学，是绝对不可能凌驾于我们严密的秩序之上的——而我们的秩序就源自我们高贵的血统与严密合理的等级！”,1,false,,,,,,
S0013_007,S0013,S0013_008,大贵族生气,“我们绝对不可能同意这种颠覆阶级概念的事情发生，而且也不会允许税收被用来建造看星星的高塔！”,1,false,,,,,,
S0013_008,S0013,S0013_009,主教辩论,“您大可不用担心，先生，建造高塔的费用，我们教会会负责的。”,0,false,,,,,,
S0013_009,S0013,S0013_010,院长辩论,“学院也会出一部分——当然，我希望那位的研究成果未来可以抄送一份送到学院。”,0,false,,,,,,
S0013_010,S0013,S0013_011,王正常,“让塔建造的小一点，移到别处去不可以吗，还有那么多的地方……”,1,false,,,,,,
S0013_011,S0013,S0013_012,主教正常,“陛下，我想效果可能会不如预期……”,0,false,,,,,,
S0013_012,S0013,END,,看起来，这场争论还会持续很久。,0,false,,,,,,
