LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0044_001,S0044,S0044_002,观星者正常,“很高兴你又来做客了……啊，你这一次是第一次来吗，那很高兴你第一次来做客。”,0,false,,,,,,宝库and占星室,,
S0044_002,S0044,S0044_003,,近侍在为你打开门后，替你挡下了几个摇摇欲坠的杂物，你终于顺利进到了观星者的工坊里。,0,false,,,,,,宝库and占星室,,
S0044_003,S0044,S0044_004,,说是工坊，似乎更加像一个仓库，除去一个看起来像是遗物的天文镜，还堆积着大量的炼金道具。,0,false,,,,,,宝库and占星室,,
S0044_004,S0044,S0044_005,观星者惊,“这里怎么那么乱，哦，这里是我家，我整理过了啊，不对，那是后天的事情……”,0,false,,,,,,宝库and占星室,,
S0044_005,S0044,S0044_006,,观星者似乎这才注意到这里不适合接待人，急急忙忙的整理出了一块空地，拉过了一把椅子。,0,false,,,,,,宝库and占星室,,
S0044_006,S0044,S0044_007,近侍严肃,“大人，我需要和您说一声，虽然这个人看起来很不靠谱，但的的确确曾经是天才。”,1,false,,,,,,宝库and占星室,,
S0044_007,S0044,S0044_008,近侍严肃,“她的父亲是前学院首席，母亲是前教会祭司，私奔后两人都不知去向，只留下了一个孩子。”,1,false,,,,,,宝库and占星室,,
S0044_008,S0044,S0044_009,近侍严肃,“这个孩子是天才，遗物在她手中就好似玩具，甚至是唯一一名引发神迹后拒绝神迹的神选者……”,1,false,,,,,,宝库and占星室,,
S0044_009,S0044,S0044_010,近侍严肃,“但……自从去了一次火山之后整个人就疯了。”,1,false,,,,,,宝库and占星室,,
S0044_010,S0044,S0044_011,观星者正常,“我知道的哦，我知道你要说的一切——你在说……”,0,false,,,,,,宝库and占星室,,
S0044_011,S0044,S0044_012,观星者大惊,“哦，我刚刚在和你说话吗？哦，在说什么来着，哦，对，茶水自取，哦，不对，我家没有茶水，哦，对，椅子。”,0,false,,,,,,宝库and占星室,,
S0044_012,S0044,S0044_013,,观星者似乎晃神了一下，然后给两个椅子放上了软垫，然后去急急忙忙的寻找茶水。,0,false,,,,,,宝库and占星室,,
S0044_013,S0044,S0044_014,观星者疯癫,“对，暴雨——要来的不只是暴雨！暴雨只是开始！暴雨——咕嘎额额咳咳咳咳咳咳咳咳——”,0,false,,,,,,宝库and占星室,,
S0044_014,S0044,S0044_015,,在给似乎是茶叶的东西冲水后，大量烟雾瞬间填满了房间，什么都看不见了，只能听到观星者的咳嗽声。,0,false,,,,,,宝库and占星室,,
S0044_015,S0044,END,骷髅正常,“……也许我们下一次再聊？”,0,false,,,,,,宝库and占星室,,
