LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0017_001,S0017,S0017_002,,有一次的晨会，但此刻晨会却仿佛变成了某种吵架现场，而你和近侍则苦苦维持着秩序。,0,false,,,,,,王城,,
S0017_002,S0017,S0017_003,院长辩论,“按照我们的检测报告来看，这场大雨，接下来将会持续几个月，甚至变得更加大。”,1,false,,,,,,王城,,
S0017_003,S0017,S0017_004,主教辩论,“你的那份报告我们的祭司几天前就提交过类似的了，结果被你们以‘唱诗的懂什么天气’驳回了，而你们做了什么？”,0,false,,,,,,王城,,
S0017_004,S0017,S0017_005,院长辩论,“谁知道你们是不是又想骗些什么，毕竟你们教会最擅长骗人了。”,1,false,,,,,,王城,,
S0017_005,S0017,S0017_006,大贵族正常,“所以你们吵来吵去，到现在又做了什么吗？”,0,false,,,,,,王城,,
S0017_006,S0017,S0017_007,院长辩论,“这里最没资格说话的就是你们这群家伙，是你们不信观星着的预测，一直推到现在，结果雨来了你们急了。”,1,false,,,,,,王城,,
S0017_007,S0017,S0017_008,大贵族生气,“我，我们只是不相信一个神棍说的话，这叫严谨！”,0,false,,,,,,王城,,
S0017_008,S0017,S0017_009,院长辩论,“你说的严谨就是指，贪污拨款和物资，然后把准备梳理水灾的政务一压再压？”,1,false,,,,,,王城,,
S0017_009,S0017,S0017_010,王闭眼,“够了，我不想再听这些争吵了，没有任何意义，麻烦给我一个可以解决水灾的办法。”,0,false,,,,,,王城,,
S0017_010,S0017,S0017_011,主教辩论,“现在水灾隐患最严重的就是上城区的这个蓄水池，一旦出现问题，下城区顷刻就会变成一个新的湖泊。”,1,false,,,,,,王城,,
S0017_011,S0017,S0017_012,主教辩论,“所以我觉得我们可以对已有的排水系统下手——这应该是学院负责的。”,1,false,,,,,,王城,,
S0017_012,S0017,S0017_013,院长辩论,“上城区的排水系统在王城建立之前就存在了，已经近乎等于遗迹了，我们学院可以出人，但不可能只有我们学院出人。”,0,false,,,,,,王城,,
S0017_013,S0017,S0017_014,主教辩论,“教会也可以派遣一些擅长探测类的神术的祭司。”,1,false,,,,,,王城,,
S0017_014,S0017,S0017_015,王正常,“那就在雇佣一些冒险者，立刻组成勘探的队伍去检查维护排水系统。”,0,false,,,,,,王城,,
S0017_015,S0017,END,,“是。”,0,false,,,,,,王城,,
