LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0034_001,S0034,S0034_002,,今天是近侍的休息日，护卫任务也被委托给了总会长负责。,0,false,,,,,,
S0034_002,S0034,S0034_003,,近侍平时会打理好方方面面，但她终究是人，因此你给她安排了休息，她在与总会长接班之后瞬间就消失在了视野里。,0,false,,,,,,
S0034_003,S0034,S0034_004,,虽然过度的打探下属不好，但你仍然有些好奇这个名义上是自己近侍，事实上似乎王都地位比自己还高的存在的休息日到底会做什么。,0,false,,,,,,
S0034_004,S0034,S0034_005,总会长正常,“老大，您好奇那位存在的事情吗，我大概知道她在哪里。”,1,false,,,,,,
S0034_005,S0034,S0034_006,,于是，以巡查的名义，你们来到了下城区的一处昏暗的街上……,0,false,,,,,,
S0034_006,S0034,S0034_007,,空气之中，灰白的烟雾弥漫，两旁是没有招牌的店铺，店内，脖子被轻易扭断，短暂的悲鸣之后便陷入了永眠，而围观者的眼中却满是欢愉。,0,false,,,,,,
S0034_007,S0034,S0034_008,,刚刚被宰杀完的存在便被立刻分尸，而内脏则被掏出，清洗之后就被送入了锅中乱炖，而肉体已经被分作了小块……,0,false,,,,,,
S0034_008,S0034,S0034_009,骷髅死机,“……这里是……”,0,false,,,,,,
S0034_009,S0034,S0034_010,总会长开心,“下城区最出名的小吃街，因为以前有人用老鼠肉伪装兔肉所以现在杀兔子都是当面杀的，主打一个新鲜。”,1,false,,,,,,
S0034_010,S0034,S0034_011,,而在人群之中，近侍穿着与平时不一样的衣服，手里拎着几串兔肉串，对着老板指指点点。,0,false,,,,,,
S0034_011,S0034,S0034_012,常服近侍笑,“这个，这个，这个，各来三串，然后杂碎汤来五碗。”,1,false,,,,,,
S0034_012,S0034,S0034_013,店主正常,“那么久没来，吃那么少？最近遇上啥难事了，心情不好？”,0,false,,,,,,
S0034_013,S0034,S0034_014,常服近侍吃兔,“第一餐吃的清淡点，开开胃……”,1,false,,,,,,
S0034_014,S0034,END,,你觉得你今天就不该来。,0,false,,,,,,
说明,S0034,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0034,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0034,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0034,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0034,,,,,false,,,,,,
