LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0060_001,S0060,S0060_002,,实在是受不了两边人的争吵后，你选择和近侍来到下城区之中散心。,0,false,,,,,,下城区,,
S0060_002,S0060,S0060_003,,在大雨的洗刷之下，仿佛一切的气息都被洗刷而去，只留下的大雨的气息……与偷偷摸摸的龙哥。,0,false,,,,,,下城区,,
S0060_003,S0060,S0060_004,,你看着龙哥从一个破旧的小房间之中出来，又亲自把几袋东西运进去。,0,false,,,,,,下城区,,
S0060_004,S0060,S0060_005,骷髅思考,“……去看看吧。”,0,false,,,,,,下城区,,
S0060_005,S0060,S0060_006,,在靠近一点后，正在锁门的龙哥被吓了一大跳，钥匙直接飞了出来，在空中被近侍接住。,0,false,,,,,,下城区,,
S0060_006,S0060,S0060_007,龙本体正常,“是，是大臣阁下啊，来巡查？走，去诊所看看？”,1,false,,,,,,下城区,,
S0060_007,S0060,S0060_008,骷髅疑惑,“你在运什么？”,0,false,,,,,,下城区,,
S0060_008,S0060,S0060_009,龙本体正常,“啊？什么，没什么啊，啊，就一点点小东西，一些科学实验用的配件……”,1,false,,,,,,下城区,,
S0060_009,S0060,S0060_010,,你挥了挥机械臂，近侍默默的推开龙哥，直接开锁，进门，搜屋，直到找到了一间通向地下室的暗门，从地下室里找出了那些麻袋。,0,false,,,,,,下城区,,
S0060_010,S0060,S0060_011,,麻袋里，一件件失窃的损坏遗物就静静的躺在那里，上面甚至还有没清理干净的土。,0,false,,,,,,下城区,,
S0060_011,S0060,S0060_012,龙本体正常,“……我可以花钱买……”,1,false,,,,,,下城区,,
S0060_012,S0060,END,骷髅生气,“滚。”,0,false,,,,I0006,,下城区,获得【未知遗物】,
