LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0062_001,S0062,S0062_002,,“啪！”,0,false,,,,,,学院街道,,
S0062_002,S0062,S0062_003,,伴随着一声音爆，巨大的钥匙直接将一名邪教徒拦腰截断，还未来得及飞溅的身体残渣瞬间化为了血雾。,0,false,,,,,,学院街道,,
S0062_003,S0062,S0062_004,,你原本只是打算去观星塔咨询一些事情，没想到一些路过的平民在看到你们的瞬间，就拿出了武器。,0,false,,,,,,学院街道,,
S0062_004,S0062,S0062_005,,他们一部分向着你们冲来，一部分则打算浑水摸鱼冲到观星台下。,0,false,,,,,,学院街道,,
S0062_005,S0062,S0062_006,,但冲来的人在路上就被近侍轰成了碎块抑或被击飞到墙上后生死不明。,0,false,,,,,,学院街道,,
S0062_006,S0062,S0062_007,邪教徒正常,“——雪原之主，恩赐我抹平异教之徒的伟力，我愿以身殉道——”,0,false,,,,,,学院街道,,
S0062_007,S0062,S0062_008,,一名观星台附近的邪教徒见形势不对，立刻开始念诵术法，他的身上开始出现不自然闪烁的光点。,0,false,,,,,,学院街道,,
S0062_008,S0062,S0062_009,,但就在他念诵之时，近侍已经出现在了他的身后，一把提起了他的脑袋，随后宛如捏爆一颗苹果一样轻松的将其捏爆。,0,false,,,,,,学院街道,,
S0062_009,S0062,S0062_010,近侍严肃,“太慢了。”,1,false,,,,,,学院街道,,
S0062_010,S0062,S0062_011,,尸体宛如一块破布的掉在地上，而在落地之前，近侍已经又轰飞了另外一人。,0,false,,,,,,学院街道,,
S0062_011,S0062,S0062_012,近侍严肃,“……解决了，大人，还留了一两个活口，交给教会的审讯官吧。”,1,false,,,,,,学院街道,,
S0062_012,S0062,S0062_013,,回过神时，近侍已经回到了你的身边，一边擦手一边继续护了的你的身旁。,0,false,,,,,,学院街道,,
S0062_013,S0062,END,骷髅正常,“嗯，谢谢，我们走吧。”,0,false,,,,,,学院街道,,
