LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0036_001,S0036,S0036_002,王室护卫正常,“请您务必来一下，我们无法处理这个情况。”,0,false,,,,,,下城区,,
S0036_002,S0036,S0036_003,,下城区，刚刚抵达的你就在收到了王室护卫的请求，在他的指引下，你来到了一所小的礼拜堂外。,0,false,,,,,,下城区,,
S0036_003,S0036,S0036_004,,在里面，传来了唱诗般的歌声——但内容却好像是……求爱诗。,0,false,,,,,,下城区,,
S0036_004,S0036,S0036_005,,进入礼拜堂后，只见里面出去王室护卫们，就只有一个围着年轻牧师唱诗的年轻人。,0,false,,,,,,下城区,,
S0036_005,S0036,S0036_006,,而所有的王室护卫都用看救星的眼神看着你们。,0,false,,,,,,下城区,,
S0036_006,S0036,S0036_007,王室护卫正常,“王子殿下喝醉之后已经唱到现在了，我们都不敢带走他，大臣阁下，您能劝劝殿下吗。”,0,false,,,,,,下城区,,
S0036_007,S0036,S0036_008,王子开心,“哦——为何，你不愿意睁开眼睛看看我呢，我不相信你两眼空空——”,1,false,,,,,,下城区,,
S0036_008,S0036,S0036_009,近侍严肃,“大人，出于对王室颜面的考虑，我有办法解决现在这种情况。”,0,false,,,,,,下城区,,
S0036_009,S0036,S0036_010,骷髅正常,“麻烦你了。”,0,false,,,,,,下城区,,
S0036_010,S0036,S0036_011,,在近侍靠近王子后，在王子将歌唱对象转为近侍之前，一个利落的手刀瞬间让王子陷入了婴儿般的睡眠。,0,false,,,,,,下城区,,
S0036_011,S0036,S0036_012,,而周围的王室护卫一拥而上，扶住了王子然后逃一般的离开了。,0,false,,,,,,下城区,,
S0036_012,S0036,S0036_013,,甚至有人特地感谢了近侍的出手。,0,false,,,,,,下城区,,
S0036_013,S0036,END,骷髅思考,“……也算完成了王女的委托。”,0,false,,,,,,下城区,,
