LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,Remark
S0053_001,S0053,S0053_002,主教正常,“王子殿下就在里面了。”,0,false,,,,,,
S0053_002,S0053,S0053_003,,推开了满是厚重的房门，你在主教的接引下进入了教区之中最大的酿酒工坊。,0,false,,,,,,
S0053_003,S0053,S0053_004,,各种粮食与水果的气息混杂着酒精的气息在空气之中弥漫，而此刻的王子正在一个橡木桶上高声歌唱。,0,false,,,,,,
S0053_004,S0053,S0053_005,,此刻的他正在唱着和上一次相似的情诗，只是目标换成了酿酒师与这满屋的酒。,0,false,,,,,,
S0053_005,S0053,S0053_006,酿酒师正常,“主教大人您终于来了，王子殿下他有……”,1,false,,,,,,
S0053_006,S0053,S0053_007,主教正常,“不要慌张，我已经带了可以解决事情的人来……大臣阁下，劳烦您让神选者阁下出手吧。”,0,false,,,,,,
S0053_007,S0053,S0053_008,近侍正常,“……他现在在高处，恐怕有些危险，他脚下的木桶里面是什么？”,0,false,,,,,,
S0053_008,S0053,S0053_009,酿酒师正常,“原本是新酿造的蜂蜜酒，但已经被王子殿下喝空了。”,1,false,,,,,,
S0053_009,S0053,S0053_010,近侍撇嘴思考,“知道了，在这里等我。”,0,false,,,,,,
S0053_010,S0053,S0053_011,,说完，近侍的身影消失在原地，在清脆的一声响后，王子再次被击晕，而后直接被近侍顺手塞进了木桶之中。,0,false,,,,,,
S0053_011,S0053,S0053_012,近侍正常,“搞定了，联系王室护卫领人吧。”,0,false,,,,,,
S0053_012,S0053,END,酿酒师正常,“……是！神选者阁下！”,1,false,,,,,,
说明,S0053,,,,,false,,,,,,
剧情 ID 放在第一列；同一张 Dialogue_xxx 表只需要第一条对话行填写 StoryId，后续行可留空，表示沿用本表第一条 StoryId。,S0053,,,,,false,,,,,,
对话行 ID 放在第二列；本表内只写 1、2、3、4 这样的数字，不写 DL 前缀或 000 补位。,S0053,,,,,false,,,,,,
下一行 ID 放在第三列；普通跳转写数字，选项跳转用|分隔，例如 3|END；结束写 END。,S0053,,,,,false,,,,,,
选项行的多个选项仍用|分隔，并与 NextLineId 顺序对应。,S0053,,,,,false,,,,,,
