LineId,StoryId,NextLineId,SpeakerCharacterId,Content,Position,IsChoice,RequiredItemIds,RequiredItemCounts,ConsumeItems,AddItemIds,AddItemCounts,背景ID,Remark,演出
S0048_001,S0048,S0048_002,祭司正常,“大人，审讯结果出来了……”,0,false,,,,,,营地,,
S0048_002,S0048,S0048_003,大祭司正常,“做的不错，把领军去喊过来，告诉他带三支队伍来，有活干了。”,0,false,,,,,,营地,,
S0048_003,S0048,S0048_004,,在接过了审讯报告后，大祭司的脸上露出了果然的神情。,0,false,,,,,,营地,,
S0048_004,S0048,S0048_005,大祭司正常,“骷髅阁下，现在理清为什么那群野兽人知道怎么敢袭击王城了，城内有内应为他们提供情报和武器。”,1,false,,,,,,营地,,
S0048_005,S0048,S0048_006,大祭司生气,“是北方邻国来的邪教徒，我们的邻居真会给我们找事情做……我们得在他们开始在城里自爆之前把他们都丢上行刑台。“,1,false,,,,,,营地,,
S0048_006,S0048,S0048_007,,在说话间，一个荆棘爬满了整条手臂的男人走进了指挥所之中。,0,false,,,,,,营地,,
S0048_007,S0048,S0048_008,大祭司正常,“骷髅阁下，这位是我们护教军的领军，接下来的对内行动将由他来配合指挥。”,1,false,,,,,,营地,,
S0048_008,S0048,S0048_009,护教领军正常,“大祭司，骷髅阁下，护教军已经准备好了，随时可以准备行动，请二位随我来。”,1,false,,,,,,营地,,
S0048_009,S0048,S0048_010,,营地外，三十名护教军正在等待着命令，在见到你们时，动作统一的右手抚在胸前，等待着检阅。,0,false,,,,,,营地,,
S0048_010,S0048,S0048_011,,他们身上穿着代表护教军的盔甲，手臂上统一缠绕着荆棘，有些人的盔甲之上已经点燃了蜡烛，此刻正在风雨之中摇晃。,0,false,,,,,,营地,,
S0048_011,S0048,S0048_012,骷髅疑惑,“这些荆棘到底是什么，不会阻碍行动吗？”,0,false,,,,,,营地,,
S0048_012,S0048,S0048_013,护教领军正常,“回骷髅阁下，这个是独属于教会的遗物——圣荆棘，它的用处是防止在作战时因为一些影响导致堕落。”,1,false,,,,,,营地,,
S0048_013,S0048,S0048_014,护教领军正常,“包括我身上的所有圣荆棘，都是同一株母体下的子株，这株神赐之物每一次提我们挡下堕落的侵扰，都会生长几分，是荣誉的象征。”,1,false,,,,,,营地,,
S0048_014,S0048,S0048_015,大祭司正常,“我们还不知道邪教徒为我们准备了什么礼物，因此交给我们的护教军是最好的。”,1,false,,,,,,营地,,
S0048_015,S0048,END,大祭司战锤,“请您放心的交给我们，骷髅阁下，我们会是您最坚实的后盾。”,1,false,,,,,,营地,,
